FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,GSDDE,1520474,2480928,2799181,2495325,2220411,13995446,27021418,23947802,26406110,31054136,32384474,56574578,33860109,31711623,16247138,25210893,18359675,18493582,22891129,29983817,23021090,27905251,42741212
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,GSDDE,921826,1697469,2186397,1604128,1781484,13160110,26286582,23417135,19086439,23492757,24746632,43477792,32755761,30360075,14922191,23622865,17231044,17707547,22098442,29175462,21986007,26741216,40888879
1AB,Finansal Yatırımlar,Short-Term Financial Investments,GSDDE,0,0,0,0,0,0,0,0,6384015,6945493,7123021,12254004,540135,492856,513928,731165,24209,11707,12784,59904,49348,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,GSDDE,276533,169499,194819,566281,191708,281282,221822,82304,581648,74110,67162,33312,46436,198341,237585,120239,595636,118776,148790,83611,376569,423888,306458
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,GSDDE,1823,1896,1931,1884,1918,1840,1799,1797,1773,1678,1509,2829,1720,1585,1568,2340,1484,1460,1521,1810,1480,1557,1563
1AE,Diğer Alacaklar,Short-Term Other Receivables,GSDDE,152,140909,9657,5651,5275,5520,5509,0,0,0,0,0,0,7035,137023,0,0,0,0,0,244782,703,53485
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,GSDDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,GSDDE,90405,102691,95800,74939,55870,71643,66221,109189,94316,132883,103223,215674,119503,107926,79195,202229,127568,144229,140920,179713,110933,85526,693336
1AG,Canlı Varlıklar,Short-Term Live Assets,GSDDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,GSDDE,218187,357377,300791,232217,175043,466312,430940,331686,252736,402662,338830,525358,392593,540866,352877,471902,336017,463246,439816,420360,200350,600366,743959
1AI,(Ara Toplam),(Subtotal),GSDDE,1508927,2469842,2789395,2485100,2211299,13986706,27012873,23942110,26400927,31049582,32380377,56508969,33856148,31708685,16244367,25150739,18315957,18446966,22842273,29920861,22969469,27853257,42687679
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,GSDDE,11548,11086,9786,10225,9112,8740,8545,5692,5183,4553,4097,65610,3961,2938,2771,60153,43718,46617,48855,62956,51621,51994,53533
1AK,Duran Varlıklar,LONG TERM ASSETS,GSDDE,39184684,38757786,38306250,37084639,36814574,36361159,39165777,40951322,40278378,42017206,41439460,68191330,40321715,42082174,56389484,81450529,55996488,56489921,63636013,78914800,62242498,61491445,66531254
1B,Ticari Alacaklar,Trade Receivables,GSDDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,GSDDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,GSDDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,GSDDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,GSDDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,GSDDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,GSDDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,GSDDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,GSDDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,GSDDE,123680,102400,76614,64849,54431,38869,131879,78634,131892,105204,141871,302744,101731,68034,70809,124308,61743,35365,84312,77116,29841,13965,66135
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,GSDDE,38669756,38288819,37890474,36670927,36417730,35990639,38709090,40658354,40007433,41785530,41172051,66980141,40107725,41938569,56240720,80477192,55111769,55568689,62616251,77631112,61222931,60471687,65428675
1BGA,Şerefiye,Goodwill,GSDDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,GSDDE,26894,21880,15709,12781,8392,6095,4272,1947,1637,2876,2426,6620,2033,1392,1203,4272,2783,2646,2633,3229,2537,2386,2309
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,GSDDE,142977,132157,135845,140057,135599,135236,133903,88070,24210,24144,33635,24450,23713,10012,16225,40147,7482,9548,18548,24132,27964,25394,27440
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,GSDDE,221378,212530,187608,196026,198422,190320,186632,124317,113206,99452,89478,877376,86513,64168,60527,804610,812711,873673,914269,1179209,959224,978012,1006695
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,GSDDE,40705158,41238713,41105431,39579964,39034985,50356605,66187194,64899124,66684489,73071342,73823934,124765909,74181824,73793797,72636622,106661422,74356163,74983503,86527141,108898617,85263588,89396696,109272467
1BM,KAYNAKLAR,LIABILITIES,GSDDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,GSDDE,8929120,17213624,15890011,14947058,13188063,6000989,8625555,4709204,4437958,7320596,5786569,10502776,6168399,6616415,6128127,9233401,6182243,6876933,7906326,9646748,6749406,6133064,8062412
2AA,Finansal Borçlar,Short-Term Financial Loans,GSDDE,8568715,16985194,15686436,14409569,12480458,5626675,8185508,3179885,3189893,6196844,5061314,8516709,5272934,5355089,5368045,7725160,5332740,5313560,6347400,7988410,6387136,5538601,7376315
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,GSDDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,GSDDE,37074,113048,81378,18432,23739,55313,56664,56542,131551,656925,360444,400171,98396,823051,279771,681455,308964,995338,865326,1042615,10810,143347,121087
2AAGAB,Diğer Borçlar,Other Short-Term Loans,GSDDE,172301,20567,18284,27984,236908,18399,130080,13405,506155,11982,21130,41426,571196,181217,27602,43131,104998,37859,65999,68741,55665,165526,39897
2AAGAC,Müşteri Söz. Doğan Yük.,None,GSDDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,GSDDE,6685,6856,6953,6996,6834,6900,6971,6590,6479,6291,6145,10463,6358,6069,6016,8748,6029,5991,6114,7453,6000,6204,6205
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,GSDDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,GSDDE,101952,72642,74296,207462,408834,279902,226095,491051,580694,435314,320826,590861,182929,233324,421388,627982,345107,378984,348980,320815,86299,224176,476461
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),GSDDE,0,0,0,247958,0,0,0,942185,0,0,0,893284,0,0,0,104031,53148,124767,234564,157214,142466,25997,0
2AAGE,Borç Karşılıkları,Short-Term Provisions,GSDDE,42392,15316,22662,28657,31292,13800,20237,19546,23187,13240,16710,49861,36586,17666,25304,42894,31258,20435,37943,61501,61030,29212,42447
