FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,I. NAKİT DEĞERLER VE MERKEZ BANKASI,I. CASH AND BALANCES WITH THE CENTRAL BANK OF TURKEY,HALKB,3545635645,3960785355,5327403363,8540129294,7438350038,8177091963,8348920344,9243191418,7082964231,7312918209,7173960037,8487842996,7978031770,7428226142,13078975899,9281707656,10862726598,14735231851,16943834916,17630161726,16447829977,19641369448,20171025454
1AA,II. GERÇEĞE UYGUN DEĞ./ZAR. YANS.(Net),II.FINANCIAL ASSETS WHERE FAIR VAL. Chng. (Net),HALKB,2471611791,2376328204,2097882748,2109263256,1884204992,1807669936,1769414919,1882623830,1712446619,1504236373,1352347713,1822054773,2307822210,2300444035,2155562933,1314372306,1181779765,2225574588,2343313128,1629566855,2094939512,2034901538,2314829348
1AAA,2.1 Alım Satım Amaçlı Finansal Varlıklar,2.1 Trading Financial Assets (Net),HALKB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AAB,2.1.1 Devlet Borçlanma Senetleri,2.1.1 Public Sector Debt Securities,HALKB,0,0,0,0,0,0,1742687841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AAC,2.1.2 Sermayede Payı Temsil Eden Menkul Değerler,2.1.2 Share Certificates,HALKB,0,0,0,0,0,0,16369779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AAD,2.1.3 Alım Satım Amaçlı Türev Finansal Varlıklar,2.1.3 Trading Derivative Financial Assets,HALKB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AAE,2.1.4 Diğer Menkul Değerler,2.1.4 Other Marketable Securities,HALKB,0,0,0,0,0,0,10357299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AB,2.2 Gerçeğe Uyg. Değ. Kar/Zarara Yans.,2.2 Reclassed as Financial Assets Designated at Fair Value,HALKB,2471611791,2376328204,2097882748,2109263256,1884204992,1807669936,1769414919,1882623830,1712446619,1504236373,1352347713,1822054773,2307822210,2300444035,2155562933,1314372306,1181779765,2225574588,2343313128,1629566855,2094939512,2034901538,2314829348
1ABA,2.2.1 Devlet Borçlanma Senetleri,2.2.1 Government Debt Securities,HALKB,2446937932,2349138940,2073776364,2085800449,1858464416,1782568567,0,1862530068,1696090088,1490138634,1340810959,1812392163,2120277051,2121174854,2000796726,1199242285,1093513771,2139902510,2279853434,1590717806,1984932957,1832906105,2101164986
1ABB,2.2.2 Sermayede Payı Temsil Eden Menkul Değerler,2.2.2 Securities Representing Share in Equity,HALKB,22122768,21238568,18748036,19589248,17456479,16743638,0,10903992,9929485,8723115,0,0,0,0,0,0,0,0,0,0,0,0,0
1ABC,2.2.3 Krediler,2.2.3 Loans,HALKB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ABD,2.2.4 Diğer Menkul Değerler,2.2.4 Other Marketable Securities,HALKB,2551090,5950697,5358348,3873559,8284097,8357732,0,9189770,6427047,5374624,11536753,9662609,187545159,179269181,154766207,115130021,88265994,85672078,63459694,38849048,110006555,201995434,213664361
1AC,III. BANKALAR,III. BANKS,HALKB,491586113,323697615,459332878,343828757,420444082,352284065,279229187,264679473,341014014,548024132,436346559,383148089,437438268,427713185,494907205,536569666,450809959,720154993,589303533,763087557,646983906,704410812,822176852
1AD,IV. PARA PİYASALARINDAN ALACAKLAR,IV. RECEIVABLES FROM MONEY MARKETS,HALKB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ADA,4.1 Bankalararası Para Piyasasından Alacaklar,4.1 Interbank Money Market Placements,HALKB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
