FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,HEKTS,151880871,175894121,174971494,198658180,243726446,285929077,265183564,695782607,330520279,380539736,405209647,824494136,509106312,431319205,495848616,740695837,401226689,383661579,298811304,314016330,215658761,191920855,159686720
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,HEKTS,6340526,9918677,5694858,10601515,29822788,51437835,15386515,21780091,38400918,41919904,47025763,134706880,103225687,89563733,131918288,226285047,113738323,164223148,88369117,66445228,31360464,38835976,26769905
1AB,Finansal Yatırımlar,Short-Term Financial Investments,HEKTS,0,0,0,0,0,0,0,0,639900,646419,509761,14308,8416,32952365,32946537,47529744,32838363,33041878,32956009,41334024,32954660,14180638,12376116
1AC,Ticari Alacaklar,Short-Term Trade Receivables,HEKTS,84433635,93020933,93871600,101148667,119057127,142102122,166848675,335402050,153017666,193890382,222458125,359595915,210877888,166021210,148109234,148580884,53715395,32401987,41674092,47044729,55218946,58521519,45394481
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,HEKTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,HEKTS,5000908,4055642,3168466,2963181,1459362,662005,260725,721921,201593,60835,40876,3344315,3450138,1887823,49540666,73465628,39985371,324374,364821,6934396,3269775,2261304,918090
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,HEKTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,HEKTS,43412549,47313963,41551924,56216203,62874164,59552905,59417994,262964865,109923059,113891843,106281439,288585736,161617288,114467061,106089192,208089488,137901176,131871511,112363716,120044584,69878129,53717166,50423348
1AG,Canlı Varlıklar,Short-Term Live Assets,HEKTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,HEKTS,12693252,21584907,30684646,27728614,30513005,32174210,23269655,74913680,28337143,30130354,28893684,38246982,29926895,26427013,27244700,36745046,23048062,21798679,23083548,32213369,22976787,24404251,23804780
1AI,(Ara Toplam),(Subtotal),HEKTS,151880871,175894121,174971494,198658180,243726446,285929077,265183564,695782607,330520279,380539736,405209647,824494136,509106312,431319205,495848616,740695837,401226689,383661579,298811304,314016330,215658761,191920855,159686720
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,HEKTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,HEKTS,45603528,57475803,54177181,94313809,73669798,72025633,109733469,366827243,114040202,112483651,123209912,414747869,197510619,196458107,209954679,505505657,335232167,357095876,401089173,540451348,456025662,476751728,494758176
1B,Ticari Alacaklar,Trade Receivables,HEKTS,0,0,0,0,0,108744,13322,1747964,137818,327246,157424,132500,13934,26788,43389,0,0,0,0,18425,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,HEKTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,HEKTS,26126,55131,54206,61725,66748,70372,75490,172594,64669,86611,80813,132642,144496,110729,137699,205947,132248,133711,132048,160355,121481,115734,89332
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,HEKTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,HEKTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,HEKTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,HEKTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,HEKTS,329967,323383,283624,702540,583779,556337,540428,3101239,323588,282420,252426,2149823,240883,177435,166238,1922431,1388054,1470144,2960331,3826618,3124719,3135618,3215014
1BFA,Stoklar,Stoklar,HEKTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,HEKTS,5375022,4785433,3940397,3781099,3076300,2682101,4247368,12342072,3129418,2773442,5370530,14611843,5633640,4246156,3770544,7263261,6576155,5198961,18222632,22685306,18946336,19332236,24340718
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,HEKTS,31351310,34299260,33015745,57126819,48766527,49064059,56117626,261274752,80906686,79542004,87167988,289976210,132757614,98340638,106712891,213726855,238549359,251483879,261504079,338975645,270707724,274585528,285382089
