FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,HLGYO,20788746,16464635,10838596,14284294,7744942,11770166,23455611,21208262,54653273,43379785,27595020,82803120,47371972,39754928,41606192,99731725,74345156,84621072,94811334,126337900,188987665,161981847,174355783
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,HLGYO,7657598,7331988,3725417,6666920,276413,643910,8517351,3977349,33269683,21537572,3203759,9046863,2185345,5134979,2798085,3165772,728636,352011,1798407,2358701,65544115,8523692,6000213
1AB,Finansal Yatırımlar,Short-Term Financial Investments,HLGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039620
1AC,Ticari Alacaklar,Short-Term Trade Receivables,HLGYO,1138283,1239278,1090365,719307,577053,1461545,852122,171075,241131,199136,625467,661710,282681,224867,165432,1062257,95593,196772,211935,338071,22465728,473555,477945
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,HLGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,HLGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,HLGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,HLGYO,7096916,3914837,2062466,2445794,2688976,4395495,7452785,13784290,15765709,17684915,18045013,53076556,26763601,23834036,26842163,77356329,60643941,68707387,75440635,103158606,91294606,137732623,149974975
1AG,Canlı Varlıklar,Short-Term Live Assets,HLGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,HLGYO,4895949,3978532,3960348,4452273,4202500,5269216,6633353,3275547,5376750,3958162,5720782,20017991,18140344,10561045,11800512,18147367,12876985,15364902,17360356,20482522,9683216,15251978,16863030
1AI,(Ara Toplam),(Subtotal),HLGYO,20788746,16464635,10838596,14284294,7744942,11770166,23455611,21208262,54653273,43379785,27595020,82803120,47371972,39754928,41606192,99731725,74345156,84621072,94811334,126337900,188987665,161981847,174355783
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,HLGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,HLGYO,443344431,431527700,385737197,458589101,416910735,414706805,419099309,321652615,313241100,513839464,480204995,1175112124,801246623,584852086,565977147,1198302710,860437631,991125630,1055767117,1425538570,1126055515,1288467639,1367790779
1B,Ticari Alacaklar,Trade Receivables,HLGYO,1130571,594930,254178,213522,120695,89972,60686,18346,7268,394,187,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,HLGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,HLGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,HLGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,HLGYO,0,0,0,0,0,0,0,0,0,0,808534,12106530,5993392,4445372,4193101,11102308,8067767,8601788,9013480,11619674,9525084,9595391,9876566
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,HLGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,HLGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,HLGYO,420444652,409701752,368179794,438606092,399484178,398779573,404470322,310211750,303433234,509454570,475699011,1138942891,793553704,579387700,559870953,1182477275,848650163,980705148,1043862717,1411059949,1114122190,1246421115,1276178749
1BFA,Stoklar,Stoklar,HLGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,HLGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,HLGYO,797763,713732,622607,549763,431418,373354,460131,313175,342109,312744,314770,777846,331352,241080,210869,656073,1144585,1125548,1081195,1301968,989617,1269823,1369991
1BGA,Şerefiye,Goodwill,HLGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,HLGYO,44803,41395,41584,47179,41355,37573,34697,58968,54315,82766,82447,242120,56043,74694,83613,215200,169657,170785,164822,187801,133731,127406,126411
