FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,INDES,389451049,461109535,462720481,528315171,433504321,462078724,454308934,512147175,471610752,428613526,463957721,729819938,469449390,399897951,492376992,782563062,482916839,505091578,527853990,723791787,543343409,524087278,658932141
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,INDES,91367873,111607301,78970802,177454022,101824104,127603288,123906955,156893753,130393378,106207028,104404283,208584142,120152910,69528732,70165287,152517077,78603682,91396209,77496750,159001844,87340952,99361726,106658544
1AB,Finansal Yatırımlar,Short-Term Financial Investments,INDES,16664,0,0,0,0,0,0,0,0,1012530,21527644,0,20907625,15132583,26629692,31477854,10262724,10262747,11618376,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,INDES,215675918,280941713,296765980,270951973,233450334,244730411,250478621,266145825,242029625,217696134,252099356,401059400,222695909,205411775,295081911,449862448,287018942,243123450,340033197,441859646,341014330,302022754,428060029
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,INDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,INDES,242614,281201,223145,202430,184277,168709,157865,117203,85077,101203,123111,257866,72617,661060,243394,287718,406723,1365061,1024953,1628370,1133776,1495376,1344357
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,INDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,INDES,69007533,57915723,73238902,68527659,76977774,74853565,66448304,73687971,82727905,86011371,71495423,100304063,88369077,89029507,78679853,111940604,89813057,134691495,84831046,102671815,94639332,104146199,107307929
1AG,Canlı Varlıklar,Short-Term Live Assets,INDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,INDES,13140448,10363596,13521652,11179086,21067833,14722751,13317188,15302423,16374767,17585261,14307905,19614466,17251252,20134294,21576856,36477360,16811712,24252616,12849667,18630112,19215018,17061223,15561282
1AI,(Ara Toplam),(Subtotal),INDES,389451049,461109535,462720481,528315171,433504321,462078724,454308934,512147175,471610752,428613526,463957721,729819938,469449390,399897951,492376992,782563062,482916839,505091578,527853990,723791787,543343409,524087278,658932141
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,INDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,INDES,20588447,20312763,17611770,18104453,14714117,15391271,14968072,8495507,9243689,8222221,7478299,47309908,7935003,6297238,8713266,66704081,48349806,61698949,80862844,111206643,93167292,94818180,111333369
1B,Ticari Alacaklar,Trade Receivables,INDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,INDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,INDES,6003,5763,5087,5239,4669,4478,4378,2916,2656,2333,2099,3425,2029,1505,1420,1906,1204,1318,599045,4749,8087,7575,7253
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,INDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,INDES,0,0,0,0,0,0,0,0,0,0,0,0,0,994781,989200,3582202,2386562,2675896,2621875,4653568,3601103,3523555,3460139
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,INDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274509,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,INDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,INDES,7245018,7354217,6459473,6809610,6038062,6283948,6300571,4174536,3781956,3305347,2958426,36534165,2830616,2088453,1899919,35686467,25932510,27649035,32662966,53353980,43736356,44059117,45350313
1BFA,Stoklar,Stoklar,INDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,INDES,2492171,2338120,1974433,2043158,1857151,1719328,1537412,878730,831066,853664,952875,2358145,1047428,825648,1309258,2245396,1873865,3580626,3320455,3959803,3707666,3889148,4132942
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,INDES,4147359,3948232,3458803,3620195,3200640,3039388,3339697,2210867,1975174,1789262,1590878,6814944,1781212,1385228,1741521,23856225,17219471,18442052,32651047,34959796,30564434,31873369,46503444
1BGA,Şerefiye,Goodwill,INDES,2833054,2719823,2400884,255318,227520,218229,213356,142118,129417,113693,102290,274213,98901,73356,69193,251467,182735,8308949,8183200,4088738,3351699,3376434,3475384
