FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,ISDMR,1680074907,1798882503,1766340810,1742142694,1476229978,1922883083,2353620440,1946984198,1797006172,2014375007,1958861531,1670700352,1494283764,1494297322,1813313352,1949574010,2008024153,1963488975,1797036963,2453586752,1977708868,2186854472,2210204273
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,ISDMR,4958900,8173292,5923618,5193671,78051746,326745018,421605374,660867820,391034473,308589693,245808669,346501708,281346898,116762648,357544155,392260768,301434441,479671707,299896877,666385045,700868617,870800479,1050237846
1AB,Finansal Yatırımlar,Short-Term Financial Investments,ISDMR,0,0,0,0,0,0,0,0,0,0,0,1001495,0,0,0,0,0,0,5359877,6796140,5262795,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,ISDMR,180561270,182554591,139412711,172373969,158499904,273126071,320490303,207155321,215129608,209104090,305876963,212987668,98880122,192328988,179775104,176740971,180780525,200322697,204503620,262843972,205614783,207329098,204482223
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,ISDMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,ISDMR,903168123,1001219021,1020332338,930331912,548821096,501485413,658034516,4547143,2770075,83574715,2446893,2428411,3104004,2855978,42325786,113905457,144964444,19114954,3439977,5433598,4918314,9702304,5166420
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,ISDMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,ISDMR,568832333,578263292,578392135,617627914,670869221,794283858,927869807,1042387628,1161665905,1377481158,1345559640,1037711883,1015827349,1062475338,978474550,1073994364,1095916596,1095257243,1085173320,1238385636,926652614,961846987,855011928
1AG,Canlı Varlıklar,Short-Term Live Assets,ISDMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,ISDMR,22554281,28672307,22280008,16615227,19988011,27242724,25620440,32026286,26406110,35625352,59169366,70069186,95125392,119874370,255193758,192672449,284928147,169122374,198663293,273742362,134391746,137175604,95305856
1AI,(Ara Toplam),(Subtotal),ISDMR,1680074907,1798882503,1766340810,1742142694,1476229978,1922883083,2353620440,1946984198,1797006172,2014375007,1958861531,1670700352,1494283764,1494297322,1813313352,1949574010,2008024153,1963488975,1797036963,2453586752,1977708868,2186854472,2210204273
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,ISDMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,ISDMR,1968836587,2029615054,2051754655,2071198757,2096817332,2152344323,2194853561,2228502284,2259117469,2277367926,2302015944,2316552264,2375045081,2512160296,2593029680,2647416255,2698566950,2854085169,2925929935,3835930022,3121402533,3155575951,3158408623
1B,Ticari Alacaklar,Trade Receivables,ISDMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,ISDMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,ISDMR,1717845,1649187,1455796,1371372,1222065,1172162,1145989,441848,402360,353475,318023,326020,318275,236069,222672,181579,165566,162839,156659,174000,129593,123153,117913
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,ISDMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,ISDMR,26894,26986,27298,26774,27096,27024,27095,27035,27074,27080,27059,2838672,2751905,2047036,1923248,2247612,2064612,2038327,1971974,2478192,1853929,1766485,1698419
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,ISDMR,29272050,31524178,30857176,30938421,29804815,30211709,30922593,27730997,27566747,28807829,29562529,32353886,32332993,27490452,28370415,29984877,31377985,33420617,34933080,45427387,36599170,32606776,33642068
1BE,Canlı Varlıklar,Long-Term Live Assets,ISDMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,ISDMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,ISDMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
