FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,ISGYO,125144869,96105791,69967095,62549227,59511812,51043305,54472926,36865243,44110852,42605764,42080679,177258191,85192815,82042499,82309765,203202212,129222024,95384253,91261511,109483337,184533025,103357349,104565857
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,ISGYO,20941106,7215643,10482871,7958896,6555742,5505780,11533095,10376916,19867586,21587663,15406790,109612860,17419901,23268310,2901223,31267308,4746752,2184163,9856270,12070096,104499521,20372342,18063681
1AB,Finansal Yatırımlar,Short-Term Financial Investments,ISGYO,0,0,0,0,0,0,0,0,0,0,6721545,11342286,0,0,18217808,19745308,12461519,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,ISGYO,17335564,19539972,16488504,16904277,15745071,14873638,13360141,8169886,7754526,7225631,6904798,12714693,8831438,6905662,6268553,11495740,8966853,8895348,8701573,2968572,1413962,480369,1898659
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,ISGYO,853302,947197,912547,857569,699629,633772,615351,416443,384161,412899,326271,794136,604985,408168,232183,873824,126834,344017,260580,427869,270758,290729,162012
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,ISGYO,76037344,61110438,34195101,31565817,26437373,22654795,21593336,10475025,8949911,7564588,3334959,17343724,2898867,2080644,1821289,122126956,89210336,78665930,68277910,82853390,64956485,68524713,68243565
1AG,Canlı Varlıklar,Short-Term Live Assets,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,ISGYO,9977554,7292540,7888073,5262667,10073996,7375320,7371003,7426973,7154668,5814983,9386314,25450491,55437623,49379714,52868707,17693076,13709730,5294794,4165179,11163410,13392298,13689196,16197940
1AI,(Ara Toplam),(Subtotal),ISGYO,125144869,96105791,69967095,62549227,59511812,51043305,54472926,36865243,44110852,42605764,42080679,177258191,85192815,82042499,82309765,203202212,129222024,95384253,91261511,109483337,184533025,103357349,104565857
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,ISGYO,677867901,651209665,576355650,640480018,571631518,556853224,546391290,463121374,441975194,398381807,379005592,1406247995,840980713,811161998,773285868,1419949208,1026878408,1188087161,1244671795,1581837168,1186509667,1221633216,1240250442
1B,Ticari Alacaklar,Trade Receivables,ISGYO,3941390,3009598,2087689,1776354,1014309,945597,357270,264237,202968,64244,8500,10332,4133,486267,220304,73934,0,47737,374432,1015373,626142,1130288,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,ISGYO,32814441,32500131,28586992,31021292,27553474,26356923,25685620,20428780,18535878,16221893,14520636,48849060,28860458,27588967,27824961,50411575,31769803,50574601,48534931,67789009,52667900,41334707,36443522
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,ISGYO,636726,480844,482469,576546,549889,512611,574008,431993,489224,486231,538507,852243,623439,519573,586712,1086225,787969,727653,923100,1312124,1216065,1029558,1150059
1BE,Canlı Varlıklar,Long-Term Live Assets,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,ISGYO,606602971,582709887,514590058,573303703,511254691,483799548,476802224,408455854,376867178,335992328,314951005,1215077718,711344735,702323963,663591935,1196544264,869818854,993685081,1045368307,1305324227,964209478,993645610,1006491625
1BFA,Stoklar,Stoklar,ISGYO,26608508,25563015,24523147,26922535,25047828,39258362,37138923,28550629,41286966,41575392,45144925,125660136,91946781,72129579,73421690,156357622,112924313,130158581,135844520,188476991,152839154,168758552,179928082
1BFAA,Kullanım Hakkı Varlıkları,None,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,ISGYO,5789586,5544667,4844555,5569314,4994451,4767234,4609861,4155809,3782434,3284458,3111102,12798977,7399224,7508699,7014670,12548687,9025408,10123087,10466254,13458478,11014249,11345658,11532463
1BGA,Şerefiye,Goodwill,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,ISGYO,180906,166811,123019,126428,135404,131604,140232,93598,120269,102125,129281,303613,170449,127892,161823,360827,251548,282052,352232,443459,352406,373740,370775
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,ISGYO,1293374,1234712,1117722,1183846,1081472,1081347,1083153,740475,690277,655135,601636,2695917,631495,477057,463774,2566075,2300514,2488368,2808019,4017507,3584272,4015103,4333915
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,ISGYO,803012770,747315455,646322745,703029245,631143330,607896528,600864216,499986617,486086046,440987571,421086270,1583506186,926173528,893204497,855595633,1623151420,1156100432,1283471414,1335933307,1691320505,1371042692,1324990565,1344816299
1BM,KAYNAKLAR,LIABILITIES,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,ISGYO,162357272,141749423,108653499,129502442,117511984,119825171,121730643,74919360,99889249,97688676,104325450,307817137,199537011,166934388,149584801,180251714,139306206,128795956,164054261,175154291,168995025,73392942,45368387
2AA,Finansal Borçlar,Short-Term Financial Loans,ISGYO,128166155,119223493,96593590,118858648,109159805,108618450,107339870,63366137,86652093,85635773,98571750,298942292,188133568,152048855,128526889,121225108,94135423,104954776,144294787,143366731,108987291,53931153,25613687
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,ISGYO,2725459,1440468,1391456,1081876,1100952,1169292,1124771,790087,988069,809717,891270,1621435,4013218,1526704,1096198,11826111,2164898,1905550,2499324,5094111,2357758,1708180,1671741
2AAGAB,Diğer Borçlar,Other Short-Term Loans,ISGYO,2032942,1964099,1694626,1530335,1212416,1238737,1342708,1208547,1213711,1300465,1317047,2129922,1406671,1383583,1137171,2016921,804436,808574,855507,1075460,970744,1009439,896589
2AAGAC,Müşteri Söz. Doğan Yük.,None,ISGYO,22862388,15570767,6030256,5114312,4451811,7835878,10468422,7362773,7782753,6716381,1597977,2324383,2807882,7782034,11033149,41983123,41265959,18578334,14328075,22642058,21653580,15976070,15791095
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,ISGYO,3464900,429010,363043,283480,115346,52930,34586,1398451,1615325,1867018,80509,177943,1471657,3384962,6937082,69406,80655,98344,56506,112431,72737,99678,82507
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2879198,0,0
2AAGE,Borç Karşılıkları,Short-Term Provisions,ISGYO,1419743,1082586,1372658,969721,1266324,846168,995700,488091,713967,345599,519340,560738,571895,169482,363515,1172556,477742,196016,461064,1778277,1934701,260213,453926
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,ISGYO,1685686,2039000,1207869,1664070,205329,63716,424587,305275,923330,1013723,1347558,2060423,1132119,638767,490797,1958488,377093,2254362,1558998,1085225,30139016,408208,858842
2AAGG,(Ara Toplam),(Subtotal),ISGYO,162357272,141749423,108653499,129502442,117511984,119825171,121730643,74919360,99889249,97688676,104325450,307817137,199537011,166934388,149584801,180251714,139306206,128795956,164054261,175154291,168995025,73392942,45368387
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,ISGYO,57279528,44218299,41781681,17745753,17929234,13555836,13485618,14997394,8267210,7266836,12019096,765284,480791,424152,19652105,119453646,58286576,54258691,26393484,128212079,87466349,95832209,125623158
2BA,Finansal Borçlar,Long-Term Financial Loans,ISGYO,56955555,43896270,41492017,17428153,17615746,13249449,13159107,14761276,7978996,7009598,11696789,0,0,0,19313581,118766520,57821590,53762060,25968374,8618069,0,0,0
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBA,Ticari Borçlar,Long-Term Trade Payables,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBB,Diğer Borçlar,Other Long-Term Loans,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBBA,Müşteri Söz.Doğan Yük.,None,ISGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
