FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,KARTN,49955841,51478444,51085358,56672894,59675620,56241447,60659330,61332686,77004459,75047591,76629882,119886018,50130298,39657607,32617243,50155411,37017153,43734072,48728080,54292411,35875827,34034840,34874092
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,KARTN,21199057,19621193,22237795,24887086,29904361,23519230,29579556,31500175,40045213,33007134,29348501,33377929,22337456,12641128,5284784,4656449,1656189,1959388,5525037,7175319,2303577,687769,1006150
1AB,Finansal Yatırımlar,Short-Term Financial Investments,KARTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,KARTN,12109125,11805702,10665917,12436787,13678408,15090353,15322071,13042456,16793780,16011777,12616772,18008324,4255581,5605057,7124102,11533994,10331970,9266966,9150894,7466501,10135550,10945666,9973241
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,KARTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,KARTN,586102,562758,127368,108997,288977,41226,102155,86220,337583,255771,299425,2022519,1167162,246168,222134,1437089,217314,322879,2004683,811728,1146080,858746,287622
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,KARTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,KARTN,14678225,18265788,16620830,17343123,14143053,15579486,13974613,12843211,15987456,23411401,30786081,58000140,19428568,17916244,15688057,27327183,19680615,25413671,27308590,33764890,19712312,18972048,21134949
1AG,Canlı Varlıklar,Short-Term Live Assets,KARTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,KARTN,1383333,1223003,1433448,1896902,1660821,2011152,1680935,3860624,3840428,2361508,3579103,8477106,2941531,3249010,4298167,5200696,5131064,6771167,4738876,5073973,2578308,2570611,2472130
1AI,(Ara Toplam),(Subtotal),KARTN,49955841,51478444,51085358,56672894,59675620,56241447,60659330,61332686,77004459,75047591,76629882,119886018,50130298,39657607,32617243,50155411,37017153,43734072,48728080,54292411,35875827,34034840,34874092
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,KARTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,KARTN,39010982,37237674,33250255,37316009,34826531,37448779,39333195,27333065,28401724,26021899,25710525,98496608,28346544,23545213,25702000,97479715,67800412,73891313,75533045,84999283,67468538,70073107,70956909
1B,Ticari Alacaklar,Trade Receivables,KARTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,KARTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,KARTN,6723,6455,5698,5953,5305,5089,1963,1886,2288,2010,1808,7831,10452,7752,7312,19812,14397,15350,16087,20735,10636,5801,5971
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,KARTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,KARTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,KARTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,KARTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,KARTN,34836,33443,29522,30846,27488,26365,25777,17170,15635,13736,12358,199876,11949,8863,8360,183296,133197,142013,148810,0,0,0,0
1BFA,Stoklar,Stoklar,KARTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,KARTN,467587,423010,350554,712417,678657,702463,653079,410442,329442,266963,222756,811518,429403,298814,263293,871210,741930,760615,765138,945274,906551,872107,761329
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,KARTN,32328725,31859865,28341463,31377232,28189262,31362928,33232813,22491939,20889928,20102967,19580911,92889700,23061200,16922526,18246167,81906878,58239428,60229612,60794453,67980950,53891940,52747455,52871667
1BGA,Şerefiye,Goodwill,KARTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,KARTN,604668,542432,475069,469222,475375,509104,578147,381988,362733,312996,283475,1097575,284943,202990,183842,851403,615377,634804,643773,802762,633144,616304,613964
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,KARTN,3791488,3801661,3404678,3265644,3149467,3496760,3687967,1918476,4239530,2669860,2893996,108079,3119497,4301885,5191689,11885322,7169022,11252861,12378381,14230351,11110334,14915620,15790338
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,KARTN,1776955,570808,643273,1454694,2300977,1346070,1153450,2111164,2562167,2653368,2715222,3382030,1429100,1802384,1801338,1761795,887061,856058,786403,1019211,915933,915820,913641
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,KARTN,88966823,88716118,84335614,93988903,94502151,93690226,99992525,88665751,105406183,101069490,102340408,218382626,78476842,63202820,58319244,147635127,104817565,117625385,124261125,139291694,103344365,104107947,105831001
1BM,KAYNAKLAR,LIABILITIES,KARTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
