FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,KORDS,448661051,454453719,404783081,388761437,391924568,415132033,454057077,463223951,553624302,607033935,615652231,595001663,617892199,560954803,495411216,499876488,536387885,554447048,557627230,661027085,522397312,465879538,494144017
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,KORDS,62222079,105031841,78140980,60528850,47035127,40713428,39936159,14588878,16170708,59233125,26006249,42666466,50266437,50191493,57019750,58066898,56193516,53584858,63749118,151086015,126270027,87737666,114584180
1AB,Finansal Yatırımlar,Short-Term Financial Investments,KORDS,13,13,13,13,13,13,13,13,13,13,13,3107328,3107315,3107333,3107333,3107324,3432550,3432558,3432551,407943,325236,325236,325236
1AC,Ticari Alacaklar,Short-Term Trade Receivables,KORDS,152570244,98133738,123930258,146798893,163258151,165231698,185292053,192178959,242552888,237586207,230127433,206042053,211567788,186395651,161785806,161876177,174807359,175723014,181196483,201918815,155259687,144437342,135415019
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,KORDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,KORDS,6292355,7856605,5836610,3352395,4304635,13167994,11625758,13666699,14543986,11282339,12616245,13048614,17566041,18467341,16497829,15234523,17870394,18043540,12765862,7163693,11850299,8914536,31590314
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,KORDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,KORDS,203142571,214123435,177180790,164854305,162553543,178732644,198653460,223828372,255360779,271691772,315384572,293469570,295014971,265944546,225132000,231931434,247059784,259319560,257145795,265252536,194962015,191540712,186906572
1AG,Canlı Varlıklar,Short-Term Live Assets,KORDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,KORDS,23133517,28058677,18342276,12833340,14328158,17000076,18259297,18650835,24995927,27240479,31517720,36667632,40369646,36848439,31868498,29660131,37024282,44343517,39337421,35198083,33730048,32924046,25322697
1AI,(Ara Toplam),(Subtotal),KORDS,447360779,453204308,403430927,388367797,391479626,414845852,453766739,462913756,553624302,607033935,615652231,595001663,617892199,560954803,495411216,499876488,536387885,554447048,557627230,661027085,522397312,465879538,494144017
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,KORDS,1300272,1249411,1352154,393640,444942,286181,290338,310195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,KORDS,646908379,645033255,639489044,634376664,623675445,621318485,606438240,586022635,582640364,577094909,608265654,663230564,657955039,656776407,659403268,686104262,685774463,684933313,683504966,893606348,709546880,716143401,692799192
1B,Ticari Alacaklar,Trade Receivables,KORDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,KORDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,KORDS,5606908,5452937,4107087,3630373,3138050,3502220,2821932,3023034,3585186,3244978,3160493,3383325,3486621,3714448,3570935,3832999,5313750,3726417,2290357,6345253,2706203,2700172,2384365
