FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,KRDMA,109646891,126242616,111302013,139862279,150169024,186773047,196008275,194764548,268236679,217840404,192599746,345388141,197343267,140574689,151307627,260205159,192885243,186005522,200482071,234055526,181690780,182463838,178376588
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,KRDMA,7018982,24373521,20067874,40845022,48722550,65984955,78542621,84562608,110628823,74415539,46874370,35069112,51125260,16226004,8909729,49087913,34346964,11058823,21805919,20906935,14458871,14781495,10887894
1AB,Finansal Yatırımlar,Short-Term Financial Investments,KRDMA,5846950,1629676,203272,83,2135477,362,68,507,414,3478994,1109962,41973,5908059,2700496,609532,13492,42593,109981,161025,6959,867117,1010032,1045276
1AC,Ticari Alacaklar,Short-Term Trade Receivables,KRDMA,27307648,32976067,33338815,36328563,29805485,39958974,31695225,26705606,63499471,33995480,32888827,77725861,39638193,23151377,39372695,53217205,33248578,28202543,40649655,35318666,33917261,30170545,40652005
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,KRDMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,KRDMA,4378105,5067036,3299258,547616,1991212,1164992,844705,1602462,2959536,3670851,4022195,12054416,4434500,3730846,4203379,4197312,4676418,5120671,3633803,8035073,6257583,5165775,3250093
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,KRDMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,KRDMA,53373714,45883717,45028173,51614797,52592764,53266826,57892176,50461132,58574879,75616236,87874889,188195939,86135247,75211631,75576819,126753630,89114376,103547026,100978618,131550966,102492463,105980415,105011254
1AG,Canlı Varlıklar,Short-Term Live Assets,KRDMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,KRDMA,11721492,16312600,9364621,10526198,14921537,26396937,27033480,31432234,32573555,26663303,19829503,32300840,10102008,19554335,22635473,26935607,31456314,37966478,33253052,38236928,23697484,25355576,17530065
1AI,(Ara Toplam),(Subtotal),KRDMA,109646891,126242616,111302013,139862279,150169024,186773047,196008275,194764548,268236679,217840404,192599746,345388141,197343267,140574689,151307627,260205159,192885243,186005522,200482071,234055526,181690780,182463838,178376588
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,KRDMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,KRDMA,183620225,178947166,159013765,166981443,149019327,143096922,141183284,149610178,136971878,121787401,112429183,393332585,116070961,90682820,86202633,358614260,259274586,274839075,289339849,378832606,310206037,313076467,326234663
1B,Ticari Alacaklar,Trade Receivables,KRDMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,KRDMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,KRDMA,9467,23090,86406,97282,112108,126750,135219,4683,4240,8299,4049,7665,4621,3719,3507,68963,38522,43005,84509,85291,81214,113628,136241
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,KRDMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,KRDMA,15565,14943,13190,13782,12282,11780,11517,7672,6986,6137,5522,48278,5339,3960,3735,44274,32172,34302,25935,33433,27407,27609,28418
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,KRDMA,499522,470321,445861,489152,443599,415664,426678,286181,315185,346961,406798,788480,528711,353538,542459,1074088,735772,1226969,1374963,1864871,1578599,1648702,1738203
