FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,KRDMB,54512501,62763300,55335368,69534508,74658652,92856859,97448283,96829946,133357654,108302434,95753684,171714593,98111993,69888692,75224724,129364670,95895623,92475273,99672494,116364011,90330138,90714474,88682440
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,KRDMB,3489586,12117640,9977027,20306680,24223104,32805353,39048573,42041495,55000682,36996737,23304255,17435105,25417645,8066987,4429598,24404749,17076078,5498050,10841120,10394178,7188432,7348829,5413070
1AB,Finansal Yatırımlar,Short-Term Financial Investments,KRDMB,2906894,810216,101060,41,1061682,180,34,252,206,1729631,551833,20868,2937275,1342590,303037,6708,21176,54679,80056,3460,431100,502152,519674
1AC,Ticari Alacaklar,Short-Term Trade Receivables,KRDMB,13576383,16394517,16574863,18061258,14818218,19866168,15757729,13277069,31569659,16901333,16351145,38642510,19706688,11510034,19574691,26457685,16530000,14021293,20209550,17559174,16862446,14999712,20210719
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,KRDMB,2176637,2519148,1640272,272255,989959,579192,419957,796687,1471375,1825016,1999691,5993023,2204674,1854843,2089769,2086753,2324947,2545814,1806597,3994750,3111046,2568238,1615829
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,KRDMB,26535496,22811738,22386392,25661026,26147236,26482355,28781913,25087465,29121329,37593680,43688242,93564269,42823355,37392525,37574083,63017358,44304471,51479867,50202946,65402421,50955576,52689661,52207828
1AG,Canlı Varlıklar,Short-Term Live Assets,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,KRDMB,5827505,8110040,4655754,5233248,7418453,13123610,13440076,15626979,16194403,13256038,9858518,16058819,5022356,9721714,11253545,13391418,15638951,18875571,16532225,19010029,11781539,12605883,8715320
1AI,(Ara Toplam),(Subtotal),KRDMB,54512501,62763300,55335368,69534508,74658652,92856859,97448283,96829946,133357654,108302434,95753684,171714593,98111993,69888692,75224724,129364670,95895623,92475273,99672494,116364011,90330138,90714474,88682440
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,KRDMB,91289388,88966111,79055939,83017183,74087064,71142656,70191264,74380813,68097504,60548327,55895756,195550851,57706318,45084245,42856857,178290145,128902023,136640128,143849393,188341982,154223313,155650388,162192171
1B,Ticari Alacaklar,Trade Receivables,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,KRDMB,4707,11479,42958,48365,55736,63015,67226,2328,2108,4126,2013,3811,2297,1849,1744,34286,19152,21381,42015,42404,40377,56492,67734
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,KRDMB,7738,7429,6558,6852,6106,5857,5726,3814,3473,3051,2745,24002,2654,1969,1857,22011,15995,17054,12894,16622,13626,13726,14128
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,KRDMB,248344,233827,221666,243189,220542,206653,212129,142279,156699,172497,202245,392004,262856,175767,269691,533998,365799,610005,683582,927147,784823,819676,864172
1BE,Canlı Varlıklar,Long-Term Live Assets,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,KRDMB,9497,9066,7957,8270,7327,6987,6791,4497,4071,3555,3179,22310,3035,2239,2098,19932,1757,15240,15862,20311,16512,18904,19340
1BFA,Stoklar,Stoklar,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,KRDMB,34575,29374,25786,23088,16012,18364,19633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,KRDMB,89769842,87517245,78009278,82049296,73233096,70270890,69301981,73756546,67485542,59814662,54695221,193009245,56158084,42128070,40524671,176000653,127101840,134741903,141793008,185582117,151849301,153092691,159415595
1BGA,Şerefiye,Goodwill,KRDMB,0,0,0,76303,67996,65219,63763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,KRDMB,532248,507671,447207,369909,352003,356548,360446,235242,212657,208881,196650,942501,326624,196118,304999,966883,678492,710476,732495,971945,818881,833283,860469
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,KRDMB,0,0,0,0,0,0,0,0,0,106431,564759,0,410910,2093074,1285671,0,0,0,0,0,0,0,0
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,KRDMB,682438,650020,294529,191911,128246,149123,153569,236107,232953,235124,228944,1156978,539856,485159,466126,712382,718987,524069,569537,781437,699794,815617,950732
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,KRDMB,145801889,151729411,134391308,152551691,148745715,163999515,167639547,171210760,201455158,168850761,151649441,367265444,155818310,114972937,118081581,307654816,224797646,229115401,243521887,304705993,244553451,246364863,250874611
1BM,KAYNAKLAR,LIABILITIES,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,KRDMB,56083931,66065182,59462333,67936654,66461974,77647970,76433011,75269028,107269223,86165753,78055275,124194933,77082609,60425340,64030187,98639340,72867727,68199485,76986985,89084958,66953346,64903427,60914693
2AA,Finansal Borçlar,Short-Term Financial Loans,KRDMB,9499513,13188322,13266510,10092230,8069375,8439841,8612811,8135951,7833616,4668080,4265824,18180076,6698620,4210223,9268980,9262738,4710259,4527716,13225623,16102915,18217334,20675016,17751211
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,KRDMB,37705587,36970004,28477018,35510101,35587032,39957078,44844682,47731922,60478288,52236450,56045476,70587298,38875437,37836413,32089755,55585346,42288597,47466982,42475273,57515643,33358167,35444143,30666132
2AAGAB,Diğer Borçlar,Other Short-Term Loans,KRDMB,60839,68455,56946,67143,65058,64364,57585,37883,70750,2897124,2627203,195757,94160,522718,485173,61282,52883,60696,129822,199655,127470,104162,98154
2AAGAC,Müşteri Söz. Doğan Yük.,None,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,KRDMB,7107710,12187784,14530303,19943790,19472225,24236997,19207380,15859609,35545553,23617319,13952684,32859728,28332780,16221942,20546237,29176569,23421137,13248277,19250456,12552608,12002765,6532642,10679674
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),KRDMB,41337,60961,70583,62571,1034668,3326341,2510368,2678436,1378900,1384611,21039,635057,667875,99047,0,838612,229383,1017507,0,0,0,0,0
2AAGE,Borç Karşılıkları,Short-Term Provisions,KRDMB,171891,227115,199930,209764,175262,139235,233684,144331,144326,97178,91264,125348,92231,56979,72672,277202,178746,175445,168275,631705,1724133,511663,79854
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,KRDMB,1497056,3362542,2861044,2051057,2058354,1484113,966501,680896,1817789,1264991,1051785,1611668,2321507,1478018,1567371,3437591,1986722,1702863,1737535,2082432,1523478,1635802,1639668
2AAGG,(Ara Toplam),(Subtotal),KRDMB,56083931,66065182,59462333,67936654,66461974,77647970,76433011,75269028,107269223,86165753,78055275,124194933,77082609,60425340,64030187,98639340,72867727,68199485,76986985,89084958,66953346,64903427,60914693
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,KRDMB,30497383,30763733,28203645,29582734,26943488,23567530,21556165,17760200,16084187,14526796,12437735,38272858,12474904,11324894,9353489,19985717,15511545,17171182,18389639,24324576,25063932,25276944,28885732
2BA,Finansal Borçlar,Long-Term Financial Loans,KRDMB,23691542,24078663,22384021,21618558,19191925,15871359,13640940,12359120,10524465,9378428,7535891,4731142,6047321,5663765,4103803,2041662,1176975,945611,677922,1229291,3380468,5250919,6450278
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBA,Ticari Borçlar,Long-Term Trade Payables,KRDMB,1010996,1036936,1083951,1117673,1080705,1099188,1069356,1014036,1025692,968125,890965,1617163,999816,1003664,976180,1470676,992333,985132,1025707,1202536,1025320,1109888,1109136
2BBB,Diğer Borçlar,Other Long-Term Loans,KRDMB,0,7035,38951,43845,52072,59012,63004,64384,70694,67536,64393,116565,72670,0,0,0,0,0,0,0,0,0,0
2BBBA,Müşteri Söz.Doğan Yük.,None,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,KRDMB,116110,111264,98035,102218,90897,86838,84771,56381,51251,44970,40411,65867,39005,28774,27141,36407,97446,103896,108869,140348,115048,115897,119293
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,KRDMB,0,4028337,3703388,4291019,3978478,4181834,4244843,3576448,3398063,4067738,3906076,9362838,5316093,4628691,4246365,7054859,4684076,5501368,4938726,5372453,4414518,4884870,5108459
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,KRDMB,2064887,1501499,895299,2409419,2549413,2269299,2453251,689830,1014021,0,0,22379284,0,0,0,9382113,8560715,9635174,11638415,16379949,16128577,13915369,16098565
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,KRDMB,3613847,0,-0,0,0,0,0,-0,0,-0,-0,-0,0,0,0,0,-0,0,0,-0,-0,0,0
2N,Özkaynaklar,SHAREHOLDERS EQUITY,KRDMB,59220575,54900496,46725330,55032303,55340253,62784015,69650371,78181532,78101749,68158211,61156431,204797653,66260797,43222704,44697904,189029759,136418374,143744734,148145263,191296459,152536173,156184492,161074186
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,KRDMB,59220579,54900500,46725333,55032306,55340256,62784018,69650374,78181534,78101751,68158214,61156434,204797664,66260808,43222717,44697916,189029768,136418379,143744739,148145265,191296454,152536168,156184485,161074180
2OA,Ödenmiş Sermaye,Share Capital,KRDMB,18152450,17426935,15383373,16073614,14323608,13738699,13431936,8947079,8147465,7157599,6439721,6377875,6226371,4618175,4356098,4051037,3693786,3632941,3495074,3380235,3157776,3000833,2873154
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,KRDMB,-1311432,-1259017,-1111378,-1161245,-1034815,-992558,-970396,-979025,-588617,-517104,-465240,-4685828,-394853,-687378,-648370,-5011446,-3641693,-3882744,-4068577,-5358065,-4392207,-4424627,-4121261
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,KRDMB,187957,0,159285,0,148312,142255,0,0,0,74112,66679,0,0,0,2437115,5480449,3982506,4246116,4449340,5735837,4701882,4736587,5018246
2OCB,Değer Artış Fonları,Market Value Surpluses,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,KRDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,KRDMB,1838555,1805372,1593665,1665172,1546797,1483633,1450506,966189,879840,2100299,1889648,6283226,1827043,1541292,1453826,5979999,4345516,4633155,4854903,6258666,5130464,5168323,5319772
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),KRDMB,17647716,17049100,15179630,15996190,15073570,14575041,14361360,9641662,36565227,25033419,22707144,133386710,34992804,24917480,23634821,125962919,97454281,103904971,108877993,140359343,105815959,106597012,109720647
