FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,KUTPO,40886719,40320376,36983427,39865097,36698494,37963769,37230796,34227593,40998056,39420780,39288296,73794998,47743445,38157384,36436048,50552698,45920344,43444899,43531110,59187133,59718981,54439159,53230551
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,KUTPO,1689344,1137171,1424684,1374041,2902669,1332951,508415,832924,443865,616801,527942,2406805,1490060,562244,856757,3692022,3708894,1013791,710187,4075881,7538071,793933,822561
1AB,Finansal Yatırımlar,Short-Term Financial Investments,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,KUTPO,16562663,15674021,14733323,17103769,13526416,15661245,15007319,14730954,20226494,18075086,19014397,31866709,24224975,20384407,17960509,19589529,22546366,17028074,18640751,19315323,15151230,19262398,20255246
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,KUTPO,385537,325675,205756,634238,437087,381596,616942,578112,794267,1279929,786500,1367417,467306,491308,493405,879449,527749,471884,365840,5052407,3394879,1236808,964427
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,KUTPO,21618870,22332251,20027178,20446252,19421430,20321359,20705823,17256059,18307630,17946552,18077814,34891569,21020367,16218624,16633527,24078574,17559853,23957660,22927066,28664044,31907547,31499082,29690511
1AG,Canlı Varlıklar,Short-Term Live Assets,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,KUTPO,630304,851257,592486,306797,410892,266619,392298,829544,1225800,1502412,881643,3262498,540737,500801,491849,2313124,1577482,973489,887266,2079479,1727254,1646938,1497807
1AI,(Ara Toplam),(Subtotal),KUTPO,40886719,40320376,36983427,39865097,36698494,37963769,37230796,34227593,40998056,39420780,39288296,73794998,47743445,38157384,36436048,50552698,45920344,43444899,43531110,59187133,59718981,54439159,53230551
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,KUTPO,32260744,30968751,29183656,31379571,28679339,28230094,27797564,19593609,18532280,18930777,21029190,89013866,21915659,17330700,17418193,83150245,60963660,64294945,66261042,92046279,74047341,73719492,74481679
1B,Ticari Alacaklar,Trade Receivables,KUTPO,311285,217721,188944,128200,306940,254802,178159,601554,317674,122109,234017,811004,468442,135893,15337,104198,18879,0,54267,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,KUTPO,33321,29981,26466,27653,24642,23058,22543,15030,16098,17036,17670,60648,18374,13380,12638,53070,33516,39217,37729,19739,15123,14371,13760
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,KUTPO,152,146,129,135,120,115,113,75,68,60,54,717,52,39,36,658,478,509,534,724,593,598,615
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,KUTPO,1773831,1698450,1493087,1536308,1363275,1302072,1267589,840744,762324,666824,595884,6267855,579246,427774,401744,5651951,4089693,4342390,4531045,5816446,4078056,4092255,4195803
1BFA,Stoklar,Stoklar,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,KUTPO,5372166,4513037,3620382,3463400,2015497,2074141,2477686,1608094,1622230,1351063,1238317,4482007,1179453,1502471,1372484,4675629,3237385,4103989,4366680,5601342,4807239,4598360,4481583
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,KUTPO,22538791,22587040,20010420,22067018,21241404,20907812,20298202,14641754,14151560,14899692,15953015,65232162,16960637,12928903,13107514,60683301,43508850,45964484,47864223,72144319,59605936,59263004,59594145
1BGA,Şerefiye,Goodwill,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,KUTPO,604065,442495,492583,469282,493195,581350,576182,372232,270465,379052,329988,2530082,584014,537112,610040,2621280,1732923,2124287,2070097,2719885,2318494,2420833,2536734
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,KUTPO,1420352,1234910,1131073,1124706,1121482,1111461,1057649,924613,1010855,794469,1952932,8954480,2098935,1785128,1874849,9244359,7712999,5107230,4598838,3398601,3000317,3092724,3414736
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,KUTPO,206782,244969,2220573,2562869,2112782,1975283,1919442,589512,381007,700473,707312,674910,26506,0,23551,115799,628937,2612839,2737628,2345223,221582,237348,244303
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,KUTPO,73147463,71289126,66167084,71244668,65377833,66193863,65028360,53821202,59530336,58351557,60317486,162808864,69659105,55488084,53854241,133702943,106884004,107739843,109792152,151233413,133766322,128158651,127712231
1BM,KAYNAKLAR,LIABILITIES,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,KUTPO,12204453,11774538,13075546,13760719,14180271,16282687,15601166,19831765,25116674,25302178,27469657,47625519,35615685,26763224,23665198,27114280,28085217,20141404,16200474,31080913,28308523,22295557,17617376
2AA,Finansal Borçlar,Short-Term Financial Loans,KUTPO,95068,144668,107245,169796,71581,84094,283653,433621,3075267,6381572,8770222,19509362,14069970,10736741,9111112,7154697,3842908,4008066,1261749,971497,884353,619798,491045
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,KUTPO,3222633,4482187,6092218,6304945,5632682,8169320,7619645,8702172,10066050,10240239,8927167,10933836,4813241,4881120,5430103,6332614,4413857,4583306,4331958,14391611,11276109,9786983,7130965
2AAGAB,Diğer Borçlar,Other Short-Term Loans,KUTPO,128688,161629,113983,144199,146947,132086,840550,401667,264593,324421,720356,168003,525215,1029949,3210010,4804914,3800669,398131,513892,430646,1050635,782299,1771959
2AAGAC,Müşteri Söz. Doğan Yük.,None,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,KUTPO,6579212,5253489,5059512,4997602,6154891,5514431,4791399,8590048,9250922,6557357,7382182,13390630,11117958,6011347,3397382,4471452,12295191,8375984,6894513,11276780,9307597,6340230,3884004
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),KUTPO,203098,104953,251482,530685,250106,275656,235319,496078,931578,0,168239,809932,-364851,864565,602562,1958285,1163481,139289,1180020,1513598,1666887,1196977,1256739
2AAGE,Borç Karşılıkları,Short-Term Provisions,KUTPO,744766,478311,442772,473703,512873,540748,537041,342889,386888,317677,313048,497569,314088,290902,282511,464158,710808,648568,603549,873825,1054092,1067361,873169
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,KUTPO,1230988,1149300,1008335,1139790,1411190,1566352,1293560,865290,1141376,1480911,1188442,2316188,5140064,2948601,1631518,1928160,1858303,1988059,1414793,1622956,3068850,2501910,2209495
2AAGG,(Ara Toplam),(Subtotal),KUTPO,12204453,11774538,13075546,13760719,14180271,16282687,15601166,19831765,25116674,25302178,27469657,47625519,35615685,26763224,23665198,27114280,28085217,20141404,16200474,31080913,28308523,22295557,17617376
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,KUTPO,8698866,7799326,6657021,6806359,5550843,5645094,5886233,3726849,4201700,3657663,3669013,7635833,2983868,4161781,4772785,6615871,4283952,8337143,8139848,7471506,7635727,6704859,6361702
2BA,Finansal Borçlar,Long-Term Financial Loans,KUTPO,5531714,4657219,3790217,3680579,2227556,2303281,2337788,1305346,1361392,1029733,930023,1715996,914363,2502811,3196002,2538827,679282,1290250,1211102,1485850,1294738,1164550,1047291
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBA,Ticari Borçlar,Long-Term Trade Payables,KUTPO,0,0,0,0,0,0,663781,0,0,0,318239,0,0,0,0,0,0,0,0,0,0,0,0
2BBB,Diğer Borçlar,Other Long-Term Loans,KUTPO,897060,861206,760217,794328,707846,678941,0,442148,402632,353715,0,519336,307696,228222,215270,289039,0,2581822,2191297,209524,156051,148296,141986
2BBBA,Müşteri Söz.Doğan Yük.,None,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,KUTPO,2270092,2280901,2106587,2331452,2615441,2662873,2884664,1979356,2437675,2274215,2420751,5400502,1761809,1430748,1361513,3788006,3604670,4465071,4737449,5776132,6184938,5392014,5172424
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,KUTPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
