FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6
1A,Dönen Varlıklar,CURRENT ASSETS,MAVI,260242042,237578149,248551415,240389630,225232831,214757989,241705773,213898225,231847240,257506081,298969065,608387946,390912038,303740259,350421972,488911340,403976892,400136140,398008835,454129577,450386692,391539118
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,MAVI,114925169,107684633,116629755,120209749,92285632,103575593,106870201,110957613,105019061,114445283,121982417,285552370,173510512,121606132,155811092,233926141,201809261,189357008,122150428,203079465,190257231,147799002
1AB,Finansal Yatırımlar,Short-Term Financial Investments,MAVI,0,0,0,0,0,0,0,2023815,0,2148711,3027312,5117660,2046561,2106411,2163750,3030521,2104311,35669,117750,134914,119047,116873
1AC,Ticari Alacaklar,Short-Term Trade Receivables,MAVI,33918256,28952082,36024310,31129738,39806493,32951276,45873630,29542949,40257306,35776328,48352046,76624973,67440040,45351803,57909028,63235056,69558089,48748772,76550925,65896129,73837875,57563849
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,MAVI,1570615,1307272,936237,1302353,1419049,2197357,2738996,2487156,2813653,1890614,6120277,2764360,1215616,526409,622183,599906,1244017,466835,1057091,1488706,1757877,2129965
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,MAVI,92876244,86129531,83464114,75354044,79039181,64780299,75788971,56271849,68497085,76455061,98284291,213808883,129607980,115738898,119988916,173933601,115901229,142611532,181507906,163986330,164488353,166057058
1AG,Canlı Varlıklar,Short-Term Live Assets,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,MAVI,16951759,13504631,11497000,12393747,12682477,11253464,10433976,12614843,15260136,26790084,21202721,24519699,17091329,18410605,13927004,14186116,13359985,18916324,16624735,19544033,19926309,17872371
1AI,(Ara Toplam),(Subtotal),MAVI,260242042,237578149,248551415,240389630,225232831,214757989,241705773,213898225,231847240,257506081,298969065,608387946,390912038,303740259,350421972,488911340,403976892,400136140,398008835,454129577,450386692,391539118
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,MAVI,136789790,131590110,122884809,123912710,114523787,109726193,116788352,92797199,91822894,95711744,92444305,201106129,102225477,92084338,93603187,180821191,129527387,135658759,143553309,174051061,169109524,183255644
1B,Ticari Alacaklar,Trade Receivables,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,MAVI,515840,490555,417579,429185,388932,455042,556299,475848,445664,658842,602142,930280,533516,464677,450157,659720,544343,556115,517311,590177,591985,699782
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
