FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,MIATK,0,0,5884721,0,7267215,7064432,10014176,9762326,11294622,15822240,34399480,23332038,20494909,29794670,37014214,51371895,51514025,55543829,91372783,70723689,73221404,78934570
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,MIATK,0,0,1132435,0,733474,1862878,5122932,3429142,3955532,5326562,15562087,9064578,3645717,8150934,9532312,12567368,15864978,18955671,30265426,21450632,20725696,17122231
1AB,Finansal Yatırımlar,Short-Term Financial Investments,MIATK,0,0,0,0,0,0,0,1308971,0,0,0,0,42540,0,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,MIATK,0,0,2805242,0,5576890,3594957,4144366,3978071,6744515,9579969,15116580,11011885,14627103,19080379,23632688,31996059,31368455,31797688,46361396,39870252,40909847,40408918
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,MIATK,0,0,1245946,0,59823,58487,43705,40994,37673,33895,254490,154315,143620,118949,376227,149099,183569,189226,8872519,3398325,621353,-324540
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,MIATK,0,0,439301,0,522697,565024,383451,231026,230837,199983,676549,530515,503922,223433,1758090,3952272,681286,213550,1310658,669759,703257,315291
1AG,Canlı Varlıklar,Short-Term Live Assets,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,MIATK,0,0,261796,0,374331,983086,319721,774122,326064,681832,2789774,2570744,1532007,2220975,1714898,2707097,3415736,4387693,4562785,5334721,10261252,21412670
1AI,(Ara Toplam),(Subtotal),MIATK,0,0,5884721,0,7267215,7064432,10014176,9762326,11294622,15822240,34399480,23332038,20494909,29794670,37014214,51371895,51514025,55543829,91372783,70723689,73221404,78934570
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
