FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,NUHCM,116413174,117148565,123307686,129025518,122174036,111545769,110686545,123436457,123892784,175467321,163242127,391511595,165378238,164720296,213659178,293191882,197496552,204733085,339076713,436243169,276029935,293079655,310389740
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,NUHCM,48107104,46725598,65649523,62489836,57723984,48631985,15683247,41480137,31718394,39397153,36048764,118830320,30511836,46352690,108097212,141505580,96022208,92727108,223176509,271211395,177077080,183906252,207067933
1AB,Finansal Yatırımlar,Short-Term Financial Investments,NUHCM,571746,6370855,0,579408,585628,594800,0,581718,741760,7504522,599373,16250206,3727327,3145605,3229738,2677679,2461551,2522759,2520625,2361951,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,NUHCM,39413497,34885518,35083545,41699143,35786224,36929739,42434965,31792165,41789820,45620958,42579574,102853289,56698117,56615167,48452441,80614700,51660743,57522028,57503021,68017340,28458759,50432597,52051800
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,NUHCM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,NUHCM,1947099,1110172,1931488,625127,1068641,1466215,1918709,4102138,4451167,7168241,3132362,16815172,7759703,6176805,2617479,805124,3536608,1845023,1260060,1708240,486639,1805923,2012305
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,NUHCM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,NUHCM,17353322,20115401,15212774,19520416,18571732,15496905,27704240,32524627,19529974,52031576,56527316,109016689,52472455,25824354,38856198,54438921,33281172,32193350,39130179,60053655,50674422,32505038,34973540
1AG,Canlı Varlıklar,Short-Term Live Assets,NUHCM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,NUHCM,5210145,4541751,2543788,4111587,8437828,8426125,22945384,12955672,25661670,23744871,24354738,27745919,14208800,26605675,12406110,13149878,10534270,17922817,15486320,32890589,19333034,24429844,14284162
1AI,(Ara Toplam),(Subtotal),NUHCM,112602912,113749294,120421118,129025518,122174036,111545769,110686545,123436457,123892784,175467321,163242127,391511595,165378238,164720296,213659178,293191882,197496552,204733085,339076713,436243169,276029935,293079655,310389740
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,NUHCM,3810262,3399271,2886568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,NUHCM,165674482,205174521,188279247,209764098,171848808,165887471,176099208,136672583,134182044,136190973,134071600,699048643,212944422,185685910,260512004,632042431,457979618,412661944,331881086,424366285,348638048,343078760,352144027
1B,Ticari Alacaklar,Trade Receivables,NUHCM,0,0,0,0,0,0,0,690828,0,30255,8355,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,NUHCM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,NUHCM,273412,266204,235788,246542,220918,211897,206766,152702,219753,206144,185497,385184,183480,143544,135398,187167,115665,114417,116694,132654,107671,94780,92583
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,NUHCM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,NUHCM,20695,63389398,63735194,79118040,49261760,48283203,40680625,39612888,42091588,47934081,46392395,121814080,90232250,85095917,154058396,143351638,98787124,100458633,24273,29445,21930,3421,3276
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,NUHCM,17300694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,NUHCM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,NUHCM,32662503,31129545,26264387,26750676,24672058,23097812,22286027,14520129,12883449,10166805,9106143,113829762,9690190,7160153,6723021,82099697,59458437,63124486,64168338,81244903,65887492,65205033,65788904
