FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,ORGE,38970125,44596897,43936477,46099608,42776780,43292199,43451408,36374479,42512150,40290188,40707762,83570623,56387707,47239124,56082005,91062108,66905073,79033649,88448643,124232331,106336312,114152329,118811304
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,ORGE,6825535,10888218,11688936,10970273,9870370,6584930,2498015,3105915,6330630,4714646,3932602,6866693,3556334,2517143,3132626,10144325,7238319,5143279,6130588,5043226,3620759,3849997,3332385
1AB,Finansal Yatırımlar,Short-Term Financial Investments,ORGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,ORGE,3522965,3891302,5948528,4515590,2732215,2530640,3280433,6022353,6181281,5942753,4423746,15304426,8142688,6709460,9348659,17537877,7578866,11253455,8854598,12469801,12044456,12455113,10471141
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,ORGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,ORGE,12207,11719,13054,15456,12354,11562,12438,6017,166147,4813,84177,104452,406768,240863,189581,244743,435257,168705,138870,273460,177062,2904,173471
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,ORGE,26205148,26765975,25134441,29408050,28021682,30827653,33420380,22609335,24487747,24910745,27416657,49512385,35896601,31287702,36098950,60736194,50236753,60197542,69509911,104199997,87210678,91642820,98717805
1AF,Stoklar,Inventories,ORGE,1676964,2072715,863552,851211,1363435,2323172,3099398,3463942,4152484,3408978,3518259,8118360,6091913,4881547,5897280,1016337,590071,1151295,1699275,115844,1044060,3444701,3982958
1AG,Canlı Varlıklar,Short-Term Live Assets,ORGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,ORGE,727307,966969,287965,339029,776724,1014242,1140744,1166918,1193860,1308252,1332320,3664307,2293403,1602410,1414908,1382633,825806,1119372,2115402,2130002,2239298,2756795,2133544
1AI,(Ara Toplam),(Subtotal),ORGE,38970125,44596897,43936477,46099608,42776780,43292199,43451408,36374479,42512150,40290188,40707762,83570623,56387707,47239124,56082005,91062108,66905073,79033649,88448643,124232331,106336312,114152329,118811304
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,ORGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,ORGE,8391552,7665212,6412189,7542248,6817173,6728103,6861970,7185462,6768206,7855247,7190694,17053448,10693212,9640198,9466313,15950658,11381700,10643513,11320948,12845386,10764505,11362766,12025113
1B,Ticari Alacaklar,Trade Receivables,ORGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,ORGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,ORGE,6449,6133,5626,12437,12371,11905,20071,13586,28727,32349,24199,39490,23397,17354,17255,23168,14757,21862,27640,33530,24973,25469,22830
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,ORGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,ORGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272816,280810
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,ORGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,ORGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,ORGE,5093064,4420538,3492055,5500693,4901808,4701641,4596661,5815173,5295462,6407491,5764846,13898207,8234399,8251964,7783672,12366140,8572424,7425215,7780595,8722701,7150326,7203104,7414178
1BFA,Stoklar,Stoklar,ORGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
