FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,OTKAR,378990960,399870615,377607710,427639081,345749928,347110017,321884760,296594398,267744809,319198090,405099638,975840700,706516589,611930954,628525232,1179783665,750884564,820227609,767678754,1075474448,898877165,854960389,962325692
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,OTKAR,79109777,69842900,75104427,69614272,31788917,37322531,37711395,48293043,40808743,34043100,43348354,147027013,199981603,134060016,122128309,334655102,122257232,88287563,71889037,52217033,160504920,55188559,82745541
1AB,Finansal Yatırımlar,Short-Term Financial Investments,OTKAR,0,0,0,0,0,0,0,0,0,0,0,5277813,0,0,0,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,OTKAR,142331535,163747502,113283202,159934882,140154302,138179487,117635393,131897926,85716371,115943001,105518674,365840220,216595597,204212937,215535514,419101905,255493668,315350537,281913933,511182937,233674528,250884649,249444706
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,OTKAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,OTKAR,66094,36613,82537,60543,81287,79003,118275,90766,96839,97296,79182,79703,73641,63704,94837,208299,154807,140671,129979,173538,151188,277979,130154
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,OTKAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,OTKAR,148859075,152866458,177378898,179690018,160719116,160746559,158562932,106821913,126768643,152691925,225357776,382492900,247912580,235265949,250519653,363760770,350453753,378077500,380718204,484973350,476555082,474651516,536385108
1AG,Canlı Varlıklar,Short-Term Live Assets,OTKAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,OTKAR,8624478,13377142,11758646,18339365,13006306,10782438,7856765,9490751,14354213,16422769,30795651,75123051,41953168,38328347,40246919,62057590,22525105,38371339,33027602,26927590,27991447,73957687,93620183
1AI,(Ara Toplam),(Subtotal),OTKAR,378990960,399870615,377607710,427639081,345749928,347110017,321884760,296594398,267744809,319198090,405099638,975840700,706516589,611930954,628525232,1179783665,750884564,820227609,767678754,1075474448,898877165,854960389,962325692
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,OTKAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,OTKAR,120247208,120220990,121099122,155483472,170477412,186121851,190478610,151958436,147531490,178279713,168173037,445914905,188122870,146628707,153210895,410550027,310099247,326965666,372538404,499029216,420855771,496650290,516911951
1B,Ticari Alacaklar,Trade Receivables,OTKAR,8104232,8312158,8132420,17566564,37489090,43817316,40697622,31538156,29927234,46844842,39858345,64385810,33236171,23004530,18921170,24091071,15266606,16029259,23215095,26631510,21098439,21729612,22064783
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,OTKAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,OTKAR,242346,247976,347017,357340,445761,558194,233628,335056,208954,227722,264121,462417,142643,142059,151426,437722,508385,782204,944869,523348,206113,1744080,1767080
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,OTKAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,OTKAR,22335,21443,18928,19777,17624,16905,16527,11009,10025,607918,546946,1005499,595743,590075,581565,1404414,928128,1935667,1922007,2637606,2037998,2001412,1977918
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,OTKAR,11776799,16822405,20907136,22830062,23273187,22316609,24743493,13664046,13617281,13354542,12571784,21203929,12207705,3310217,2734558,4178758,2369433,2164432,1557610,2594133,1866960,1492324,1402135
1BE,Canlı Varlıklar,Long-Term Live Assets,OTKAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,OTKAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,OTKAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,OTKAR,3813113,3417840,2741881,2621524,2105074,2548902,2235876,2542200,2462714,1851792,1518480,6837657,2260655,2260607,2831437,4979367,3576998,3702566,2496336,2272147,1575949,1708036,801316
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,OTKAR,20104232,19561520,17638485,30542602,28675906,32202762,32822193,29708979,29309919,28915909,30892082,126617873,39554821,33288261,37575658,146717540,105502201,117719771,132028640,184527046,150444286,153536963,159755830
1BGA,Şerefiye,Goodwill,OTKAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1672646,480481,1495010,1436843,1479002,567212,468048,508711,508999
