FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,OZKGY,287066321,282672532,304632126,299164002,301950176,264287378,264777554,221167412,159617815,213794084,220253152,568397819,294664834,235629831,261053703,572004787,442980816,396727357,406392481,497503413,430803770,441003037,530897425
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,OZKGY,75981246,60383429,74392057,74698412,65339130,59944022,80354443,62334682,36671393,75628743,76043595,104020619,33335221,11845609,10077442,31659294,37493974,17510771,28000093,55224214,45551000,34901021,81083626
1AB,Finansal Yatırımlar,Short-Term Financial Investments,OZKGY,0,3395332,17383674,23029605,27014278,27309346,25536251,33566466,39776480,39786211,64998912,184733441,141014621,122895488,118761508,131449630,84883414,64032498,49271418,92453194,86443490,86733250,90722494
1AC,Ticari Alacaklar,Short-Term Trade Receivables,OZKGY,5509552,4206458,7371330,5340240,4504881,7591643,4584904,4003813,4259187,8566435,7963336,7426481,7546345,11330642,10575137,17994118,21001988,7181289,10354055,9756917,11147529,14154016,15369744
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,OZKGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,OZKGY,1748438,3458915,2335290,2862293,2204532,2853475,2709860,699148,406701,2152750,1106541,965347,1189020,622404,326333,4137393,2385912,7288075,8723460,3490658,6577673,157354,128457
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,OZKGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,OZKGY,189286581,195336062,195329210,177803083,187917049,153046244,139150383,103280367,64276026,72081802,57847961,169683816,49763107,38839208,72874890,282497459,240830421,240120572,249358708,261449911,217755918,229069209,250920616
1AG,Canlı Varlıklar,Short-Term Live Assets,OZKGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,OZKGY,14540505,15892337,7820566,15430370,14970306,13542648,12441714,17282936,14228027,15578143,12292806,101568115,61816520,50096479,48438392,104266893,56385108,60594152,60684747,75128518,63328161,75988187,92672488
1AI,(Ara Toplam),(Subtotal),OZKGY,287066321,282672532,304632126,299164002,301950176,264287378,264777554,221167412,159617815,213794084,220253152,568397819,294664834,235629831,261053703,572004787,442980816,396727357,406392481,497503413,430803770,441003037,530897425
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,OZKGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,OZKGY,435311647,419527468,376752167,491310283,393342523,401590794,391377462,457558415,424279568,368956781,607285349,1248201284,740914970,844719625,788950043,1297512412,942633308,1026790645,1073024841,1450206560,1187605175,1195741944,1229789489
1B,Ticari Alacaklar,Trade Receivables,OZKGY,88748,95255,87791,0,0,0,0,0,0,245697,632231,851370,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,OZKGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,OZKGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,OZKGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,OZKGY,63927,61372,54175,56606,50443,48383,47303,31509,28693,25207,22679,107733,21927,16264,15341,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,OZKGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
