FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,PAPIL,12744679,12211588,11402386,11717921,11297436,10745257,10337425,8449686,7733751,7211586,6901852,13185810,10180599,9615490,9710650,13359146,10771587,10593608,9934839,13071158,8957734,9341632,9154771
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,PAPIL,10305422,9906406,9478269,9769965,8653472,7389289,4831958,6471397,1804651,1308998,2585660,5007432,2957854,2376254,1757515,2630721,854854,892980,730885,1008981,4938935,3564894,2727020
1AB,Finansal Yatırımlar,Short-Term Financial Investments,PAPIL,0,0,0,0,0,0,1554781,0,4360786,4124759,2739763,4480671,5641222,5658495,6347044,7186434,7571400,6720590,6374014,6072484,426330,1284115,2535843
1AC,Ticari Alacaklar,Short-Term Trade Receivables,PAPIL,290619,301790,220786,231786,692121,703623,1302236,843564,427851,689372,367571,1355596,354908,589666,421025,420430,983318,648600,341900,4741914,1868808,1734747,470604
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,PAPIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,PAPIL,37400,2909,27667,1654,3628,60628,2158,1161,53279,1035,954,1619,750,574,584,656,409,451,451,713,0,0,748
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,PAPIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,PAPIL,1490155,1435688,1297775,1429110,1325031,1908043,1892416,827751,837979,747450,769799,1782440,794015,736766,708098,2573452,1002708,1621076,1895153,744972,1087760,1846340,1646660
1AG,Canlı Varlıklar,Short-Term Live Assets,PAPIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,PAPIL,621084,564796,377888,285406,623184,683675,753875,305812,249206,339972,438106,558052,431850,253735,476384,547452,358898,709911,592437,502096,635900,911535,1773896
1AI,(Ara Toplam),(Subtotal),PAPIL,12744679,12211588,11402386,11717921,11297436,10745257,10337425,8449686,7733751,7211586,6901852,13185810,10180599,9615490,9710650,13359146,10771587,10593608,9934839,13071158,8957734,9341632,9154771
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,PAPIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,PAPIL,817091,806987,828069,1013212,897701,898468,1125544,889157,830099,861695,830509,2255428,1203724,1127315,1305093,3440130,2721307,2878564,3206678,4256676,3946236,3598992,4600629
1B,Ticari Alacaklar,Trade Receivables,PAPIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,PAPIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,PAPIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,741,704,0
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,PAPIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,PAPIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
