FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,PARSN,61968578,45794395,57402231,63607144,66939507,61689986,66138495,58877974,69753913,73369807,71402159,63729251,82120465,60211986,59754825,57126652,57199998,51001850,51529628,51610577,54948050,49055236,51773578
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,PARSN,3862934,5980608,7167658,5283730,2865296,3204642,3436125,2139267,3896722,5121026,2328814,2448023,2129962,4236637,3326049,3594511,2294993,3065417,2058478,3528225,3683912,2589123,1974534
1AB,Finansal Yatırımlar,Short-Term Financial Investments,PARSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,PARSN,18288411,13077962,19694204,20631115,27892640,27937853,24291042,20714281,25096642,28089609,29594636,17902561,25651330,20092967,22903748,16439123,17520478,13582887,13454833,13779574,15561723,15098180,14121358
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,PARSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,PARSN,0,0,0,0,0,0,0,0,0,17948,710728,0,13227352,0,0,0,0,10190,14472,24518,7111723,0,0
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,PARSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,PARSN,34513018,20880733,23639272,32232470,29377402,24685335,31122174,30354349,31846566,32992435,30996464,36410869,34428864,30785411,27894332,33034626,32081369,30247428,31807411,31770224,24389212,26458709,30717390
1AG,Canlı Varlıklar,Short-Term Live Assets,PARSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,PARSN,5304215,5855093,6901097,5459829,6804170,5862157,7289154,5670077,8913983,7148789,7771517,6967798,6682956,5096970,5630697,4058392,5303159,4095929,4194433,2508035,4201481,4909223,4960296
1AI,(Ara Toplam),(Subtotal),PARSN,61968578,45794395,57402231,63607144,66939507,61689986,66138495,58877974,69753913,73369807,71402159,63729251,82120465,60211986,59754825,57126652,57199998,51001850,51529628,51610577,54948050,49055236,51773578
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,PARSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,PARSN,250293604,257823310,266063185,258520787,260479012,268471540,267825378,233018631,228153934,216470564,216098667,326082077,324871772,316227783,324573754,384804026,382823640,382145071,403675478,523733690,427527301,457697569,470228402
1B,Ticari Alacaklar,Trade Receivables,PARSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,PARSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,PARSN,10122510,9100933,7262642,6765814,5991147,3692416,4228367,4020300,5074507,2087303,2159695,4550638,5149633,4998952,11313251,5572651,5863667,6644055,6868858,8791659,6645173,6657016,6484490
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,PARSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,PARSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,PARSN,32860903,32263275,30856807,37723743,34285638,38299062,43162986,34327260,32294956,37062164,44136691,55611836,48271512,41357726,47682925,78941041,84050990,82269122,89891784,110164890,87114034,87559719,100632620
1BE,Canlı Varlıklar,Long-Term Live Assets,PARSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,PARSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,PARSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,PARSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,PARSN,196321609,203127481,213122044,197721196,208993909,213053236,207553320,183310824,180475794,168495307,157879737,248564249,257465886,261044490,258074467,292774088,285676362,282234800,295624417,392664554,323642953,352008831,353013934
1BGA,Şerefiye,Goodwill,PARSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,PARSN,2505183,2932846,3406550,3410056,3678956,4001142,3810396,4174285,5090104,4390780,4738763,6059795,6248859,6554924,6466043,6982200,6947560,7120503,7721123,9358331,7974820,8942811,9300577
