FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,PRKME,10202691,42831855,30677487,16506279,10199907,9054799,7452682,7944259,7245129,7666226,7905423,18935179,11539142,16159461,16310399,20735228,14860310,22964610,13649127,15262960,11934129,8448329,7729724
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,PRKME,1065814,892127,7076874,6487981,85057,362726,94467,896459,128607,100675,133956,14028388,2747311,1452483,4180281,3713460,913134,1068498,1327971,3056302,819059,128000,263160
1AB,Finansal Yatırımlar,Short-Term Financial Investments,PRKME,0,0,0,0,0,5749,3151,2157,2020,7198,37255,63395,38951,605207,73016,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,PRKME,1333827,636748,590147,955917,1350605,1068061,1336912,1027039,1454457,1074312,2024206,2753978,1988081,2251581,2311867,2971904,2311939,1890340,2496484,3886256,2747417,1944538,2516705
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,PRKME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,PRKME,7012482,40236809,21975126,7952028,8371018,6871753,5309211,5466646,5159546,6168060,5202050,441697,5706926,10739918,8460366,10798993,9415120,17033241,6975425,4791993,5568297,4293563,1206607
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,PRKME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,PRKME,688643,966921,991439,330679,280678,614775,624169,486614,403508,268107,478217,1579917,864274,914429,1141813,2022848,1455564,1800127,1781053,2191449,2241578,1289188,1799367
1AG,Canlı Varlıklar,Short-Term Live Assets,PRKME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,PRKME,101925,99251,43902,779674,112549,131734,84771,65342,96991,47873,29739,67804,193600,195842,143058,1228024,764552,1172405,1068193,1336960,557777,793040,1943884
1AI,(Ara Toplam),(Subtotal),PRKME,10202691,42831855,30677487,16506279,10199907,9054799,7452682,7944259,7245129,7666226,7905423,18935179,11539142,16159461,16310399,20735228,14860310,22964610,13649127,15262960,11934129,8448329,7729724
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,PRKME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,PRKME,78248088,72478812,74597199,88974157,90341766,90313634,90854520,74836850,70932238,76507444,72945006,147708747,74276917,70057433,68373514,130129425,95571091,93705225,101952916,136336208,112165745,117182622,122650339
1B,Ticari Alacaklar,Trade Receivables,PRKME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,PRKME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,PRKME,31800373,27323458,34053234,43987701,50452392,50594758,50249529,39646592,39374858,36948652,35224430,49382806,30292836,22790508,19581740,16378032,11499571,17676,17275,20928,15836,15012,14379
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,PRKME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,PRKME,2103298,802196,493393,60840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,PRKME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,PRKME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,PRKME,29171921,27595601,24359615,27520031,24523802,23548929,23023119,22601000,20581114,28090926,25273520,47658021,28236388,33993510,32064410,57163972,41539634,43760744,45855188,60553920,49638325,50885799,52376916
1BFA,Stoklar,Stoklar,PRKME,0,0,0,0,0,0,0,0,0,0,0,14283,7783,5198,26386,34913,8883,6233,5250,6254,3387,4368,4931
1BFAA,Kullanım Hakkı Varlıkları,None,PRKME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,PRKME,1287474,1998873,1758137,13459503,11904493,12617733,13873633,10068306,8846300,9185048,10478854,39505476,13586483,11406590,14399631,45434905,34417926,40759380,45902959,61989383,51116407,54078454,57134476
1BGA,Şerefiye,Goodwill,PRKME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,PRKME,12679946,13225578,12417468,2449829,2155883,2041735,1970619,1295635,1164385,1009341,895892,8847433,842586,619660,576039,7670961,5492459,5768610,5953115,7556348,6097435,6044941,6121718
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,PRKME,39023,22885,26079,4601,0,0,0,17052,7961,7917,7573,0,0,0,0,298985,300663,0,0,0,0,0,0
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,PRKME,1166053,1510222,1489274,1491652,1305196,1510479,1737621,1208265,957620,1265559,1064736,2300729,1310841,1241967,1725309,3147656,2311955,3392583,4219129,6209375,5294355,6154049,6997918
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,PRKME,88450779,115310668,105274686,105480436,100541673,99368433,98307202,82781109,78177367,84173670,80850429,166643926,85816058,86216894,84683913,150864653,110431400,116669836,115602042,151599168,124099874,125630951,130380063
