FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,SARKY,261650429,255407546,295437754,333065333,357602827,389342331,393408004,372726707,426652379,382839201,375217705,648477066,457961076,422669983,410327010,593804186,461157510,509908976,495587993,499161590,491644499,489934721,486560716
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,SARKY,25041597,35857983,27912634,26233116,20419284,19992382,14602900,26726444,29485403,30388585,39365541,43088199,50658309,52039561,44267493,71665956,82341624,55222735,92083942,41605124,37166701,74707733,52197417
1AB,Finansal Yatırımlar,Short-Term Financial Investments,SARKY,0,0,0,0,0,0,0,0,0,0,0,7515,4453,4634,4405,16887,11795,2341447,1903368,2552297,1282981,61303,60964
1AC,Ticari Alacaklar,Short-Term Trade Receivables,SARKY,134242825,115646414,154106473,170815948,197945120,211065584,225535686,202042394,237075169,222880550,186501295,310891841,212157548,200248489,187501210,241166087,193801872,245280550,194180658,211862652,220473588,198285859,195783211
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,SARKY,14584623,19636545,14035144,11006239,10386660,14643450,9923144,8756298,12869065,14257988,11029346,13821053,13871450,9092127,10094867,17707347,9037736,16162437,11075489,11396375,12851993,15663234,22180929
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,SARKY,77656425,78376550,94945194,116909379,106318005,134262020,132797580,125947029,129869851,103826478,110139042,236023219,161618989,132582933,157639206,237756260,146888078,145335375,163105231,190420655,166219629,162497890,166137119
1AG,Canlı Varlıklar,Short-Term Live Assets,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,SARKY,10124959,5890054,4438309,8100651,22533758,9378895,10548694,9254542,17352891,11485601,28182481,44645240,19650327,28702239,10819828,25491649,29076404,45566433,33239304,41324487,53649606,38718702,50201077
1AI,(Ara Toplam),(Subtotal),SARKY,261650429,255407546,295437754,333065333,357602827,389342331,393408004,372726707,426652379,382839201,375217705,648477066,457961076,422669983,410327010,593804186,461157510,509908976,495587993,499161590,491644499,489934721,486560716
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,SARKY,75350146,72921015,67816034,71988214,68980062,68206215,67180181,57202512,55108681,51280766,49955931,192172301,76582539,70981019,72565135,210474189,154812948,156765801,165806367,210997210,174472220,185117180,192912581
1B,Ticari Alacaklar,Trade Receivables,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,SARKY,13784,13467,12531,24427,22729,22011,75708,51732,82821,144691,242890,396745,235182,175257,376486,217193,144964,142611,137885,177721,132642,126397,141083
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,SARKY,75969,89249,89307,101945,88145,83978,88750,87125,87306,84503,94143,371922,219336,231120,349111,404723,222322,234122,310705,463893,606687,943051,745712
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,SARKY,7566311,6767094,6484992,7878369,7317977,7154906,7107583,5121971,5055443,4575582,4322379,12358835,87873,0,118268,14105902,12029527,12345015,12302633,15115649,12245676,11730795,11844228
1BE,Canlı Varlıklar,Long-Term Live Assets,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,SARKY,14869711,14275399,12601401,14136586,12597473,12083051,11813255,11539354,10508064,9231401,8305529,37114740,21989702,16310032,15384453,41940765,30477360,32494717,34049757,44559447,36527131,36796691,37875054
1BFA,Stoklar,Stoklar,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,SARKY,104059,85119,66905,237197,196858,174897,108274,65297,53529,41814,32932,231917,69046,47399,41113,598315,388494,364857,337633,435259,274561,235164,198951
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,SARKY,50372125,49333976,46584415,47801847,46731120,46032314,46107544,39146134,38313233,36121147,35925799,138686145,52757680,52793326,54776543,142880158,101409282,105529586,111326436,140743060,117222416,122129819,128556537
1BGA,Şerefiye,Goodwill,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,SARKY,1337462,1193405,973078,974552,807371,718776,649112,410656,363261,311236,270390,1568857,247036,177687,739886,2140175,1485223,1496443,1489572,1836390,1438949,1396729,1369474
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,SARKY,952097,1106001,951874,778876,1169175,1888424,1182670,584205,466030,481806,501819,556073,610471,890208,443031,3755999,5433963,717651,419939,88763,219850,6116679,6365444
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,SARKY,58630,57305,51531,54416,49215,47858,47284,196039,178993,288588,260051,887066,366214,355990,336245,4430961,3221814,3440799,5431808,7577028,5804306,5641855,5816097
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,SARKY,337000575,328328561,363253788,405053548,426582889,457548546,460588185,429929219,481761059,434119968,425173636,840649367,534543615,493651002,482892145,804278375,615970458,666674778,661394360,710158800,666116718,675051901,679473297
1BM,KAYNAKLAR,LIABILITIES,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,SARKY,160112762,143723322,184919419,228676860,262958977,263397270,265892625,258167678,280842866,259157823,264843727,474996647,329152238,328459553,296005266,410818764,339549913,373693855,361853267,340014185,349185020,360584803,336124242
2AA,Finansal Borçlar,Short-Term Financial Loans,SARKY,97778858,84743893,111342544,142574562,167723756,167629718,151761986,146303622,135215620,147266086,133811621,281790500,181426460,190104874,185202621,233359499,191688134,184611762,179281036,202968979,173339052,174940159,175752960
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,SARKY,51025039,43043116,58170161,69177723,81416964,77263990,99674886,84911085,119326609,86396655,105199382,164548041,124101880,122277345,85858323,145261895,128003075,166972942,165284243,118811363,162131663,168425497,142097334
2AAGAB,Diğer Borçlar,Other Short-Term Loans,SARKY,1557390,4351222,1564621,4112648,1228805,1443681,2384127,1456315,2225825,2727249,3401789,2063249,3105991,1469265,1354623,3648232,2514379,3383679,2306344,2496461,2511306,1872279,1783213
2AAGAC,Müşteri Söz. Doğan Yük.,None,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,SARKY,4961339,4978239,5653912,4425649,4868786,5344447,5951698,14072469,12955956,13200538,11746812,15527322,10068460,7398422,7781782,10548127,6602911,7303920,5750037,6405704,5157435,5829909,5913997
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),SARKY,534974,725520,3082925,3329554,3000395,6982246,1454387,7103050,5800114,4901257,2410674,3187556,4908671,3570426,9708726,4891992,1703254,2643715,1315423,751795,1559110,2945803,3492714
2AAGE,Borç Karşılıkları,Short-Term Provisions,SARKY,1737434,2489798,2801328,3261859,2482433,2713670,2776188,2793061,2640192,2368178,2956081,3798702,1996418,1953577,3347507,11506779,2690428,3238955,3927637,4492957,2206274,3104168,4472812
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,SARKY,2517727,3391534,2303928,1794864,2237839,2019518,1889353,1528078,2678550,2297861,5317369,4081277,3544358,1685645,2751683,1602239,6347732,5538882,3988547,4086926,2280180,3466987,2611213
2AAGG,(Ara Toplam),(Subtotal),SARKY,160112762,143723322,184919419,228676860,262958977,263397270,265892625,258167678,280842866,259157823,264843727,474996647,329152238,328459553,296005266,410818764,339549913,373693855,361853267,340014185,349185020,360584803,336124242
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,SARKY,83601025,94924350,83171697,63570029,47766695,73016860,68886588,63828510,75052575,52645654,37087859,78596009,49285546,34063332,36051801,72564224,38925246,45737808,46069817,49552858,47302213,48361973,64196233
2BA,Finansal Borçlar,Long-Term Financial Loans,SARKY,75029217,86043480,75761071,55325762,40155191,65088688,61047496,57121161,68401350,46108922,31439341,49932346,38857392,24595572,30722017,63270792,32362990,38748548,37828938,38329313,39571304,40460639,55850542
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBA,Ticari Borçlar,Long-Term Trade Payables,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBB,Diğer Borçlar,Other Long-Term Loans,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBBA,Müşteri Söz.Doğan Yük.,None,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,SARKY,8365275,8682693,7235676,8064800,7452700,7775968,7690297,6088388,5715053,6171963,5579205,16104324,9161617,7749074,3580548,7313005,4798028,5411604,5374647,6277542,4782223,5440913,5370608
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,SARKY,206533,198177,174950,179467,158804,152204,148794,618961,936172,364768,69313,12559338,1266537,1267235,1749236,1980426,1764228,1577657,2866232,4946002,2948686,2460421,2975082
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,451451,0,0,0,0,0,0,0,0,0
2N,Özkaynaklar,SHAREHOLDERS EQUITY,SARKY,93286788,89680889,95162673,112806659,115857216,121134416,125808972,107933031,125865619,122316490,123242050,287056711,156105831,131128117,150835078,320895387,237495299,247243115,253471276,320591757,269629486,266105125,279152822
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,SARKY,93201422,89595341,95082079,112715069,115765887,121050716,125714838,107854392,125775527,122238248,123152117,286846021,155274098,130398861,150084213,319742548,236311900,245958975,251369089,317900393,267319136,263693122,276808564
2OA,Ödenmiş Sermaye,Share Capital,SARKY,30388209,43760484,38628930,40362183,35967773,34499017,33728709,22466861,20458963,23964437,21560901,21353833,20846580,19327705,18230876,16954153,15459009,18245234,17552841,16976103,15858877,25117802,24049099
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCB,Değer Artış Fonları,Market Value Surpluses,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,SARKY,13465403,13725021,12143595,12688470,11307020,12940026,12651095,8426958,7673827,9444671,8497409,31231906,8215886,8468997,8140804,32943664,23939380,28889541,30272078,39024757,31990129,34194304,35196383
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),SARKY,34499922,14531936,12519490,13418131,41687650,28191067,27561605,18358923,54446030,32407663,29157307,34861617,87016281,53235187,50208215,43064389,82957029,71720747,75152830,96883741,89623262,70670911,72949800
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),SARKY,2825694,5556263,18546909,33362762,12928306,31364564,37528470,41430589,25239215,38266499,44860518,49271055,22313750,27778069,51265634,71095146,6603732,15771915,12290183,12447674,7079984,9584068,16987702
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,SARKY,12022193,12021638,13243154,12883523,13875139,14056043,14244958,17171061,17957493,18154977,19075981,150127610,16881601,21588903,22238685,155685196,107352750,111331538,116101157,148251164,122766884,124126035,127625579
2ODA,Azınlık Payları,Minority Interests,SARKY,85366,85548,80594,91589,91329,83700,94134,78638,90091,78242,89933,210690,831733,729255,750865,1152839,1183399,1284140,2102186,2691364,2310350,2412003,2344258
2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,SARKY,337000575,328328561,363253788,405053548,426582889,457548546,460588185,429929219,481761059,434119968,425173636,840649367,534543615,493651002,482892145,804278375,615970458,666674778,661394360,710158800,666116718,675051901,679473297
3B,Sürdürülen Faaliyetler,Continuing Operations,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C,Satış Gelirleri,Net Sales,SARKY,250190129,413521048,671693464,959479828,362485254,767350963,1157999038,1553297219,469348835,902863997,1270115925,3205116197,879758293,1601193046,2285004695,2744884619,546833538,1154549910,1799818797,2260013097,421907547,904583543,1427709029
3CA,Satışların Maliyeti (-),Cost Of Sales,SARKY,-239824212,-394114853,-628639951,-893754398,-342751320,-715188727,-1089651922,-1454806761,-432440509,-835446572,-1185519781,-3120534705,-841167566,-1502660718,-2182998354,-2613303919,-528496135,-1095790682,-1715393402,-2140050953,-407572513,-873298487,-1373904399
3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,SARKY,10365917,19406195,43053514,65725429,19733934,52162236,68347116,98490458,36908325,67417424,84596144,84581492,38590727,98532329,102006342,131580700,18337403,58759228,84425395,119962145,14335034,31285056,53804630
3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",SARKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
