FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,SASA,248505660,262398658,319157632,374333553,416330927,524542141,626616673,672808058,758086951,763869717,746030099,1293990658,815525855,855501206,808096113,1409114519,905868085,903070764,900793476,936709019,637155763,733839834,747072936
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,SASA,18224265,20043906,16507816,57636525,37534769,44236594,59516555,162539954,141529785,40694729,69466961,70644299,88143039,169803399,84426128,257571148,201997026,59892627,65459431,77961829,15751856,83003185,17965831
1AB,Finansal Yatırımlar,Short-Term Financial Investments,SASA,3649776,3946320,5756354,6320987,6128429,6429927,6486593,234554,478944,779443,732316,4859011,0,0,0,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,SASA,97712831,85129896,97229919,94224037,157934611,172827769,199304739,166134277,189654107,174459842,161871702,317952968,229233784,288579027,343503099,526764198,269978636,323843693,330448446,304936335,167066769,233358928,302122958
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,SASA,678569,764204,428266,566147,1222784,956428,2624206,619861,1572203,1245132,521343,512652,509595,2820917,218734,1202422,246077,1002424,814803,1630409,1819251,1972702,1327366
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,SASA,92812277,126744512,162513971,180046955,165117015,254092963,277734780,292312589,373738262,483164504,454634785,802100790,449944965,366245477,328164041,557163808,364645154,467479208,435268076,468029258,378278783,336399539,329802845
1AG,Canlı Varlıklar,Short-Term Live Assets,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,SASA,35427942,25769820,36721305,35538902,48393320,45998459,80949800,50966824,51113650,63526067,58802993,97920937,47694473,28052386,51784110,66412942,69001193,50852813,68802721,84151188,74239104,79105480,95853935
1AI,(Ara Toplam),(Subtotal),SASA,248505660,262398658,319157632,374333553,416330927,524542141,626616673,672808058,758086951,763869717,746030099,1293990658,815525855,855501206,808096113,1409114519,905868085,903070764,900793476,936709019,637155763,733839834,747072936
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,SASA,1025806275,1077439282,1013087868,1077385876,996408978,1030513230,1155344539,989302554,1124292018,1265886924,1597480393,4043089045,2448528075,2219182245,2749817254,5987212466,4786960450,5253799631,5648481591,7307681459,6090284667,6342276100,6393043341
1B,Ticari Alacaklar,Trade Receivables,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,SASA,17321,16629,14679,15338,14027,13455,13154,8762,8184,5991,5390,8595,5107,3788,3573,4883,3092,3041,2925,3549,2141,2035,1852
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,SASA,455063,436876,19830,16145,12229,9660,7195,3370,1773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,SASA,761319152,789033331,727107981,789003727,737469547,751132603,786656473,651632068,667945988,713464419,924932649,2758594918,1390846475,1178662175,1695581492,4048994212,3271925481,3694434930,4019587362,5236385876,4467636578,4569678894,4656749115
1BGA,Şerefiye,Goodwill,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,SASA,221226,201736,3676702,114629,90879,373509,572151,288549,200430,249769,307674,1163944,349389,276734,329541,17529475,12705605,12352267,14797367,20382601,18457989,36444475,36889369
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,SASA,235805060,251660710,254819345,260573278,246545176,267107717,311029625,285513518,363077915,460744695,582055778,1067853833,929814465,891366082,947718224,1799663392,1438761393,1432555914,1503330359,1924023116,1523712722,1658074118,1668688891
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,SASA,27988452,36090001,27449332,27662761,12277120,11876287,57065940,51856287,93057728,91422050,90178902,215467756,127512638,148873465,106184424,121020504,63564878,114453479,110763578,126886317,80475238,78076579,30714114
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,SASA,1274311935,1339837940,1332245500,1451719429,1412739905,1555055371,1781961212,1662110612,1882378968,2029756641,2343510492,5337079703,3264053930,3074683451,3557913367,7396326985,5692828535,6156870395,6549275068,8244390478,6727440430,7076115934,7140116277
1BM,KAYNAKLAR,LIABILITIES,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,SASA,576033883,443571877,545298344,598429238,636452858,698891317,631761988,685368756,745336243,781215057,1040315759,2319490391,1350087191,1831625924,1249399548,1723878500,1408187555,1727417600,1908263439,1758694564,1550086114,2587466920,1996142260
2AA,Finansal Borçlar,Short-Term Financial Loans,SASA,454892958,262396178,333259638,337261695,308027168,378142458,248684468,240169999,335858356,487186036,627062758,1461036835,923439321,1447910482,902839422,1126991282,1017520560,1280279243,1453773422,1430859783,1253966252,2152229004,1553172317
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,SASA,110385322,133150463,147672864,163572995,174950005,223340885,279330710,296471280,262262352,202720922,368697614,660424301,335973692,224835096,241869795,423210947,202328838,335914375,350837036,268636819,246488157,307299259,354147459
2AAGAB,Diğer Borçlar,Other Short-Term Loans,SASA,846464,528773,634030,311462,389291,755528,3834280,3764472,5159955,3396120,3150371,2213271,3078519,13795034,10384963,12763764,9622275,9113555,5203891,13227743,5508740,2932981,1229775
2AAGAC,Müşteri Söz. Doğan Yük.,None,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,SASA,8036618,45023558,61019933,94299380,145933124,91989673,95240317,139328990,138438163,84913488,37889457,188166186,78019731,140508319,87811201,146909156,171513344,93825904,92322065,38254502,34627409,117922029,80913577
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),SASA,12763,0,0,0,186073,89352,1672607,3558601,263307,0,0,0,0,0,0,5114864,0,0,0,0,0,0,0
2AAGE,Borç Karşılıkları,Short-Term Provisions,SASA,70653,67829,52535,0,0,0,0,0,0,0,0,0,0,0,0,313957,238409,284960,384261,852787,479361,585722,646320
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,SASA,1789106,2405076,2659344,2983707,6967197,4573420,2999606,2075414,3354111,2998490,3515559,7649797,9575928,4576994,6494166,8574529,6964129,7999562,5742763,6862930,9016195,6497925,6032813
2AAGG,(Ara Toplam),(Subtotal),SASA,576033883,443571877,545298344,598429238,636452858,698891317,631761988,685368756,745336243,781215057,1040315759,2319490391,1350087191,1831625924,1249399548,1723878500,1408187555,1727417600,1908263439,1758694564,1550086114,2587466920,1996142260
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,SASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
