FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,SMRTG,67388778,0,0,64194403,53370542,82146619,79394086,92309665,194395679,233070972,223568895,268755847,348788660,275589531,314497670,265761194,377865459,302730833,280105660,277417468
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,SMRTG,3480532,0,0,1308025,1777465,23556956,13289080,7040789,21132125,65773043,28134390,24610830,28724328,11769083,11740030,14056097,16610187,19131202,5970022,7042985
1AB,Finansal Yatırımlar,Short-Term Financial Investments,SMRTG,0,0,0,0,0,0,0,4668775,4733276,4735549,11945242,9920836,11858386,6136003,6208599,3761632,727806,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,SMRTG,27008487,0,0,38067084,27368408,34084694,33595282,40265593,89303072,69327170,81893914,108211844,123954890,106191795,115288310,87522011,108807488,80582285,77817935,70535885
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,SMRTG,2448390,0,0,1252124,6226007,1261575,1477071,1895906,1800146,8820636,4193477,6988139,18823674,18084161,15641398,13237276,21685203,16415240,36580820,32036882
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,SMRTG,11162445,0,0,10083163,7411804,10162684,15613500,19231435,41690313,37564330,55370136,80966031,96582862,82116740,81350455,63532467,80183084,52255962,43812761,42978372
1AG,Canlı Varlıklar,Short-Term Live Assets,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,SMRTG,23288924,0,0,13484007,10586858,13080709,15419153,19207168,35736748,46850244,42031735,38058168,68844520,51291749,84268878,83651710,149851691,134346144,115924123,124823344
1AI,(Ara Toplam),(Subtotal),SMRTG,67388778,0,0,64194403,53370542,82146619,79394086,92309665,194395679,233070972,223568895,268755847,348788660,275589531,314497670,265761194,377865459,302730833,280105660,277417468
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,SMRTG,10383490,0,0,11313719,7913945,9797571,9295936,12181970,34851800,29897902,60315319,96528216,167735153,123250087,139184758,176827543,241844806,208089067,248826044,248917573
1B,Ticari Alacaklar,Trade Receivables,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,SMRTG,59283,0,0,59655,58313,59928,137804,130132,213390,127829,110299,134292,206261,130262,128117,123255,149518,111360,105825,101323
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,SMRTG,0,0,0,0,0,0,0,0,0,7222,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,SMRTG,975085,0,0,766753,327947,581528,421665,3483735,6048648,5421485,5439876,5145424,9812364,6771563,6074567,5744674,7381734,5844416,7036238,8035674
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,SMRTG,7571337,0,0,9491539,6193760,7061373,7263810,6748411,28117471,20607113,16120409,41305677,94332010,82186076,93444647,119410778,188860840,168298131,202355158,207279768
1BGA,Şerefiye,Goodwill,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,SMRTG,114970,0,0,134693,164754,159499,157919,175311,472291,216915,1318813,1434966,944777,650368,661326,653357,797190,648289,613322,561988
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,SMRTG,1662815,0,0,861080,1169172,1935243,1314739,1644381,0,2289690,3914859,5404561,11575453,7212984,12540179,14471999,38230213,28092216,33270745,27596179
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,SMRTG,0,0,0,0,0,0,0,0,0,1227648,33411063,43103297,50864287,26298834,26335922,36423481,6425311,5094654,5444756,5342641
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,SMRTG,77772268,0,0,75508122,61284488,91944190,88690022,104491635,229247480,262968874,283884215,365284063,516523812,398839618,453682428,442588737,619710265,510819900,528931704,526335042
1BM,KAYNAKLAR,LIABILITIES,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,SMRTG,59096648,0,0,56311310,43367205,49819818,49360703,64287076,142420254,152727904,178139233,252739091,313102328,251255915,295819230,279159031,399989455,348958833,357864880,362565805
2AA,Finansal Borçlar,Short-Term Financial Loans,SMRTG,9051239,0,0,10907317,10627190,15149707,14800113,22008533,22926790,27967710,33886899,45978755,90545028,80709620,94189338,115656331,132322726,123808166,144778712,153167709
