FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,SNGYO,425318143,399281983,394056537,341467796,309974638,327773951,339584495,244034838,245952127,211517385,149745556,309492586,117459693,109111917,111242896,328909342,200220812,219240870,238280175,291329372,242037694,279067245,264740539
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,SNGYO,12310850,12752117,30286699,9500321,5587522,34163203,18826105,13641292,9683434,2712053,387234,2315768,6906381,1750188,5695253,12559627,651167,1814925,3529562,3438223,1889006,219045,310472
1AB,Finansal Yatırımlar,Short-Term Financial Investments,SNGYO,0,0,0,0,0,0,41708921,41938141,67272181,87363475,22403873,0,0,0,0,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,SNGYO,70484927,67066456,69231552,60082800,51426702,48863156,50712222,35496897,22997148,14325536,17622838,21004832,15910553,30028143,24873430,14412304,7295099,18585931,16764516,40486811,13006232,43076780,18209887
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,SNGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,SNGYO,2883850,3035829,1556260,3128651,5490267,5178831,1759138,609263,536831,482852,456628,754348,445246,504898,476415,21578985,12749836,295973,283035,193132,147078,6171130,5786708
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,SNGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,SNGYO,285451917,264520165,250368632,199355472,186796275,182261437,167912554,97134414,90905649,90682731,92251155,255234511,71149026,56801696,57077523,249286684,153324931,175512088,189241798,213354226,199555507,203394007,211543697
1AG,Canlı Varlıklar,Short-Term Live Assets,SNGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,SNGYO,54186599,51907415,42613392,66984850,60673871,57307324,58665555,55214830,54556884,15950737,16623828,30183127,23048488,20026991,23120275,31071743,26199779,23031954,28461263,33856980,27439871,26206284,28889776
1AI,(Ara Toplam),(Subtotal),SNGYO,425318143,399281983,394056537,339052095,309974638,327773951,339584495,244034838,245952127,211517385,149745556,309492586,117459693,109111917,111242896,328909342,200220812,219240870,238280175,291329372,242037694,279067245,264740539
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,SNGYO,0,0,0,2415701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,SNGYO,385223187,366102351,324972146,439758674,550387465,515447256,440582935,519916058,471623733,414935600,370371827,1308802708,588417081,429928066,402971174,1273947578,924907403,985161641,1032062247,1340522221,1100918360,1095422440,1149732893
1B,Ticari Alacaklar,Trade Receivables,SNGYO,15912620,14932670,13231068,12426765,19867020,17371891,15640046,9097759,8679302,8038999,5958303,10910870,1920482,1331675,909571,1223959,0,1216,0,0,0,0,19971930
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,SNGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,SNGYO,148947,142722,126241,140460,124619,119518,115003,76195,68844,81684,71822,115826,68710,50741,144102,160163,102087,101461,96834,117467,85737,81476,78010
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,SNGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,SNGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,SNGYO,2063243,2084767,1778421,1897885,1691254,1731380,1578530,1112507,1048773,895609,751543,1730235,1016783,753785,981724,2086221,1699397,1875354,1979089,3602202,5201515,4992362,4639756
1BE,Canlı Varlıklar,Long-Term Live Assets,SNGYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
