FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,TEKTU,15726209,16131704,12699484,15717968,13246546,12543597,11334362,7338474,34713182,31444527,20332788,34216283,17527374,4535990,4494112,5508731,3369364,3486345,2506879,3597427,2719121,1647644,1102288
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,TEKTU,119699,105632,212713,223348,204230,156303,318903,83171,28214157,25367937,13468230,22073652,12909572,1094480,1072356,613446,201214,313544,205415,1211759,765306,178147,497878
1AB,Finansal Yatırımlar,Short-Term Financial Investments,TEKTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,TEKTU,1339728,2057494,1811408,3691112,2721433,2209177,1458610,953675,639655,408551,1416083,1101924,333230,235107,393560,95794,155196,316005,125678,1703780,1130900,523857,153473
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,TEKTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,TEKTU,13279457,13129222,9633685,10687657,9271928,9085141,8411040,5447667,5132557,5052175,4985083,5545538,3500465,2590656,2696706,4002225,1873906,2125682,1576276,403554,241041,454749,175064
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,TEKTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,TEKTU,60020,122314,274834,25602,21236,111055,80791,24138,22190,60391,46067,58990,42892,80747,70740,118981,78420,168397,189566,76591,53885,112823,89900
1AG,Canlı Varlıklar,Short-Term Live Assets,TEKTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,TEKTU,927304,717043,766845,1090249,1027720,981920,1065019,829824,704624,555474,417325,5436178,741215,535000,260750,678286,1060627,562718,409944,201744,527989,378067,185974
1AI,(Ara Toplam),(Subtotal),TEKTU,15726209,16131704,12699484,15717968,13246546,12543597,11334362,7338474,34713182,31444527,20332788,34216283,17527374,4535990,4494112,5508731,3369364,3486345,2506879,3597427,2719121,1647644,1102288
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,TEKTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,TEKTU,177665005,170177058,149876460,160765036,142964266,136868728,133522897,140255793,103644336,91052095,81890713,239167156,143122018,102499749,96733205,225696580,163846528,174543373,182621639,216015558,176947901,178216610,183243789
1B,Ticari Alacaklar,Trade Receivables,TEKTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,TEKTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,TEKTU,11520,11060,9763,10201,9090,8995,2612,1560,1421,1249,965,697,413,301,255,342,196,192,185,225,167,159,152
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,TEKTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,TEKTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,TEKTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,TEKTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,TEKTU,47362668,45476245,40148960,46327714,41288748,39607444,38727704,40463566,36850343,32393761,29147224,89917000,53276301,35949918,33909794,80652850,58608515,62487929,65478300,79793067,65409516,65892219,67823255
1BFA,Stoklar,Stoklar,TEKTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
