FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,TEZOL,0,0,61467493,0,61822931,73443961,72563857,71900144,73154250,70643605,123971150,74656088,73964664,66023605,96138051,84722988,80400148,84606099,97515527,73368531,84647949,83704836
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,TEZOL,0,0,20752277,0,23872564,32319413,40241631,33213768,21427090,20417324,25667213,16497473,22305002,22800076,20749473,8948761,13075243,10862252,18319774,16469100,25061589,32830988
1AB,Finansal Yatırımlar,Short-Term Financial Investments,TEZOL,0,0,1877034,0,5649,5556,504931,1438715,1508726,504422,829230,2503837,1952407,1481471,1475719,13475110,8810791,3143454,7281483,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,TEZOL,0,0,18576483,0,16026385,23549078,17740375,17730118,20251020,26881870,52519286,29551096,23908825,18170446,26963908,22593602,20658669,30777821,37151823,29999471,26918498,24341872
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,TEZOL,0,0,1220350,0,421014,21937,721112,6651,3403197,2055322,4035899,2330212,1708098,498910,2649940,2260205,1505417,1613591,2636401,2505940,2265701,1876
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,TEZOL,0,0,18480764,0,19431035,16118709,12819270,17507506,24963946,20139986,37008834,20078502,20330782,18862869,40426628,33638604,31981828,33375733,24896999,20602214,27264320,22151697
1AG,Canlı Varlıklar,Short-Term Live Assets,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,TEZOL,0,0,560585,0,2066284,1429268,536538,2003385,1600272,644681,3910689,3694968,3759549,4209833,3872384,3806707,4368201,4833248,7229047,3791805,3137841,4378403
1AI,(Ara Toplam),(Subtotal),TEZOL,0,0,61467493,0,61822931,73443961,72563857,71900144,73154250,70643605,123971150,74656088,73964664,66023605,96138051,84722988,80400148,84606099,97515527,73368531,84647949,83704836
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,TEZOL,0,0,29907750,0,29648892,29362773,21108364,22208141,28803765,26415781,99847779,37535509,31362128,34469753,107463204,75617731,82655119,90231152,110401890,89144096,88114306,86352497
1B,Ticari Alacaklar,Trade Receivables,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,TEZOL,0,0,194,0,166,162,108,99,87,78,127,75,25011,25008,5664,3577,3563,3428,14805,11022,10474,10028
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,TEZOL,0,0,1612512,0,1430611,1398667,931659,848396,1314577,1182730,1930103,2124961,2075211,1486667,4720533,2545271,4759108,6663489,5074915,4484520,4843516,1638898
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,TEZOL,0,0,448418,0,471314,435321,322912,276601,227581,190920,1259495,372665,264259,237802,1371647,948096,919069,913884,2189923,947753,987758,1016700
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,TEZOL,0,0,25067533,0,22364279,22297366,15548258,15354125,14794497,18054243,91179376,27874961,22379535,23539417,92803102,71048943,75851624,79844148,102467439,83343976,82006737,83561359
1BGA,Şerefiye,Goodwill,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,TEZOL,0,0,45056,0,25032,20839,12232,15748,25761,20326,45250,16935,10855,8721,21859,12889,198261,223001,227055,159329,135887,114522
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,TEZOL,0,0,0,0,0,0,0,686595,1507098,370570,1943581,6467902,6219976,8110922,0,0,0,0,0,0,0,0
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,TEZOL,0,0,2734036,0,5357490,5210417,4293194,5026578,10934164,6596914,3489848,678009,387281,1061218,8540400,1058954,923494,2583202,427754,197496,129934,10990
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,TEZOL,0,0,91375243,0,91471823,102806735,93672221,94108285,101958015,97059386,223818930,112191597,105326792,100493358,203601255,160340719,163055267,174837252,207917417,162512628,172762255,170057333
1BM,KAYNAKLAR,LIABILITIES,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,TEZOL,0,0,17401462,0,18758600,20255589,25004949,29301214,31581409,25392605,39481479,24559059,29277062,21790505,35836328,27748768,33227300,31087982,33105428,20318050,27108815,20474200
2AA,Finansal Borçlar,Short-Term Financial Loans,TEZOL,0,0,10908589,0,11467789,11576186,15736302,15559377,17010868,13508698,16868428,8588974,5006911,4218024,4472125,2612418,12850184,12506636,15166863,2904157,3070375,2900129
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,TEZOL,0,0,889,0,0,4338,2921,14495,5565,9984,6579,4247,4233,7301,6447374,4317583,1841363,526943,1047,2276674,1297912,11193557
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,TEZOL,0,0,5578222,0,6128860,7648607,8198296,9323781,11677750,10202286,20117259,10649116,20333877,13179849,21855366,16459388,14579786,15604624,15571879,12309766,20528403,4442710
2AAGAB,Diğer Borçlar,Other Short-Term Loans,TEZOL,0,0,21778,0,37233,29396,29441,3404092,564936,152951,54194,29484,30039,37590,41547,29412,1092564,23174,28104,23286,29940,79699
2AAGAC,Müşteri Söz. Doğan Yük.,None,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,TEZOL,0,0,75342,0,243991,164094,217623,313901,1119531,684566,339523,309258,611743,897524,746224,1620389,749921,484278,576517,867296,143724,292581
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),TEZOL,0,0,202202,0,80075,38218,460973,81760,151908,101353,854830,3266837,2389395,2091979,771022,983930,0,0,0,424886,55083,0
2AAGE,Borç Karşılıkları,Short-Term Provisions,TEZOL,0,0,323473,0,271416,265356,200586,184619,174213,113917,402480,133262,319298,332200,478778,461995,553934,680780,661276,589501,593383,561811
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,TEZOL,0,0,290966,0,529236,529394,158807,419188,876638,618850,838186,1577881,581565,1026038,1023893,1263654,1559547,1261547,1099743,922484,1389994,1003713
2AAGG,(Ara Toplam),(Subtotal),TEZOL,0,0,17401462,0,18758600,20255589,25004949,29301214,31581409,25392605,39481479,24559059,29277062,21790505,35836328,27748768,33227300,31087982,33105428,20318050,27108815,20474200
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,TEZOL,0,0,12843708,0,12763808,19606997,16647930,15161704,16460120,13077535,20570400,12314904,10881075,9382425,15029191,20741633,9029693,11334649,12777118,11738820,10858049,8950497
2BA,Finansal Borçlar,Long-Term Financial Loans,TEZOL,0,0,10810593,0,10518720,17524639,15652044,13956280,15347375,11721660,18043106,10524641,9805268,8561628,12587922,17401728,6972843,6285625,7329532,4923970,4746335,3877388
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBA,Ticari Borçlar,Long-Term Trade Payables,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBB,Diğer Borçlar,Other Long-Term Loans,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBBA,Müşteri Söz.Doğan Yük.,None,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
