FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,TMSN,84484857,102163163,86107766,95474343,96043243,101404945,99344992,85956130,96440228,95824452,108603784,208394128,140695718,130515278,168150050,243506378,171800819,200443196,216134395,260327106,177119663,172640536,184365155
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,TMSN,5457188,10541376,6210913,7448232,3447341,3265401,1852646,3440817,3538862,3568855,15719239,34446151,11092345,3620060,14400654,14521767,10244879,8161526,4120508,5728807,1874806,4702930,3466298
1AB,Finansal Yatırımlar,Short-Term Financial Investments,TMSN,7865091,12278225,11472162,13647071,13578473,12938079,13211193,8917365,8403086,8434779,13088886,22196368,20240367,15309258,21271014,24990206,20838850,23371175,26408611,35788056,26262769,27324936,28811059
1AC,Ticari Alacaklar,Short-Term Trade Receivables,TMSN,32822926,40281162,30202763,30848200,27675090,32868255,21325303,13960322,21095668,23023444,21428821,44409256,29624628,31954543,48388335,79870062,37466821,50101560,63785432,95547585,54927822,56598206,58062893
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,TMSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,TMSN,11585105,13272665,11948731,13867980,9424803,7138566,5105982,1606438,927093,1713702,1028597,1367084,414741,204977,276135,219244,1092314,326775,366349,417800,277948,1219495,279833
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,TMSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,TMSN,20591402,21179375,22431878,24004055,34762661,41859817,51264114,51204695,54408562,49747314,47558658,89621108,67456977,63900770,65587000,104023868,87347032,103160597,101774522,105571891,79536504,71518729,81735342
1AG,Canlı Varlıklar,Short-Term Live Assets,TMSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,TMSN,6163145,4610361,3841318,5658805,7154876,3334827,6585755,6826493,8066957,9336358,9779583,16354160,11866660,15525669,18226912,19881231,14810924,15321564,19678974,17272967,14239814,11276240,12009730
1AI,(Ara Toplam),(Subtotal),TMSN,84484857,102163163,86107766,95474343,96043243,101404945,99344992,85956130,96440228,95824452,108603784,208394128,140695718,130515278,168150050,243506378,171800819,200443196,216134395,260327106,177119663,172640536,184365155
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,TMSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,TMSN,105544000,100297738,89532832,100001957,88230006,83223360,80854912,65641986,62480109,55501272,53473504,183438562,49443446,39395109,42132614,172941745,124327287,132713949,138223419,181593977,440182014,443658639,458102896
1B,Ticari Alacaklar,Trade Receivables,TMSN,326724,0,517972,288254,213879,158752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,TMSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,TMSN,0,0,0,20154,0,17227,16842,11219,11599,10190,9168,14961,8864,6575,6201,8327,5259,5172,4976,6036,4496,13797,13311
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,TMSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,TMSN,106359,102108,90134,94178,83925,80498,78700,52423,47738,41938,37732,164326,36482,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,TMSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,TMSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,TMSN,2691633,2584054,2281036,2383385,2123895,2037165,1991679,1326667,1208101,1061324,954878,3991893,923242,684780,645919,3660770,2660190,2836274,2972021,3831361,294283675,296289278,304971506
1BFA,Stoklar,Stoklar,TMSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,TMSN,507330,474877,548172,879224,762323,710882,675152,491693,434181,467319,406886,2252458,369923,507645,466455,2164441,1176209,1491310,1465421,2301536,1494909,1689827,1865622
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,TMSN,101206979,96466810,85428778,95665480,84497125,79724637,77259234,63148618,60256521,53336527,51478238,174530923,46582724,36624322,38904180,162838836,116805968,123501374,127854161,166969271,136493178,136078357,140396027
1BGA,Şerefiye,Goodwill,TMSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,TMSN,687259,493582,285949,671282,548858,494199,833305,598019,521969,583975,586603,2484002,1490356,1552342,2063826,4269372,3679661,4836539,5926840,8485772,7905757,9587380,10856430
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,TMSN,0,0,0,0,0,0,0,13348,0,0,0,0,22041,19446,28884,0,0,0,0,0,0,0,0
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,TMSN,17715,176307,380789,0,0,0,0,0,0,0,0,0,9814,0,17148,0,0,43281,0,-0,0,0,0
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,TMSN,190028857,202460901,175640597,195476299,184273249,184628305,180199904,151598117,158920336,151325724,162077287,391832689,190139164,169910387,210282664,416448123,296128106,333157145,354357815,441921083,617301677,616299175,642468051
