FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,TUKAS,65919746,64214254,94653605,90880054,70329681,67933335,102062807,66711494,64337939,69703873,150185531,290205204,157331162,112545567,144575183,209132536,128482274,122823853,209472463,227992977,200597678,205124624,282657535
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,TUKAS,744089,2469452,4928801,2828123,957984,323910,2221151,1164569,2841711,1957218,1815208,7690073,30190905,24501239,10288734,9473848,636839,2102059,15137166,833189,1036127,4100699,4565822
1AB,Finansal Yatırımlar,Short-Term Financial Investments,TUKAS,0,0,0,0,0,0,0,0,0,0,0,14091108,12377657,6002736,10606823,10947118,8471260,10386896,17582178,21568849,31891288,38904096,39373492
1AC,Ticari Alacaklar,Short-Term Trade Receivables,TUKAS,28476399,24469439,26514498,23905790,21311833,27173411,33430543,24331260,30871098,28519328,47247549,79537083,40853453,34238106,39923580,46568694,42856052,28742062,34218968,47929195,43800951,39945234,46626845
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,TUKAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,TUKAS,2147776,928822,1232473,1874800,1789602,1316116,1922653,1917774,1023508,4162895,3786290,20182299,6716373,5594845,1815022,4671135,5480821,9266200,6939317,1266832,10482200,9632357,3304993
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,TUKAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,TUKAS,30358301,30070226,59737765,59260504,42749208,35250083,61600883,36899490,22701874,28075825,91569140,130806827,50936089,32036958,68876878,115103941,57923933,58942227,120088689,131110653,101826630,93229672,166935165
1AG,Canlı Varlıklar,Short-Term Live Assets,TUKAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,TUKAS,4193182,6276316,2240067,3010837,3521055,3869816,2887577,2398402,6899749,6988608,5767344,37897814,16256685,10171684,13064146,22347578,13100597,13384410,15506145,25284260,11560483,19312564,21851219
1AI,(Ara Toplam),(Subtotal),TUKAS,65919746,64214254,94653605,90880054,70329681,67933335,102062807,66711494,64337939,69703873,150185531,290205204,157331162,112545567,144575183,209112313,128469502,122823853,209472463,227992977,200597678,205124624,282657535
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,TUKAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20223,12772,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,TUKAS,52871425,57837256,55349485,77057170,67047027,64960807,67289357,48328768,48835038,54952894,57481322,141140184,62864219,56989068,63620293,269545085,203089884,242729864,259833464,338151841,289892380,307009459,321200017
1B,Ticari Alacaklar,Trade Receivables,TUKAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,TUKAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
