FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,I. NAKİT DEĞERLER VE MERKEZ BANKASI,I. CASH AND BALANCES WITH THE CENTRAL BANK OF TURKEY,VAKBN,3446022943,4784155204,5612636038,12537676215,8224667298,7608766430,8745619990,10795251030,9058680533,9615219095,8952159917,14356994501,11096776598,8868937131,12217023700,13078558761,15527458230,17998927363,20384965026,21742307505,17067570949,19945093162,19811857119
1AA,II. GERÇEĞE UYGUN DEĞ./ZAR. YANS.(Net),II.FINANCIAL ASSETS WHERE FAIR VAL. Chng. (Net),VAKBN,991081364,1161607177,1258607298,986307937,1057538965,1288786785,1320734724,1228450760,1005344086,890578621,818714377,912673927,1169056849,1120018671,1084500036,1161517363,510371727,177227941,67511300,68539659,142342224,206817348,221376306
1AAA,2.1 Alım Satım Amaçlı Finansal Varlıklar,2.1 Trading Financial Assets (Net),VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AAB,2.1.1 Devlet Borçlanma Senetleri,2.1.1 Public Sector Debt Securities,VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AAC,2.1.2 Sermayede Payı Temsil Eden Menkul Değerler,2.1.2 Share Certificates,VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AAD,2.1.3 Alım Satım Amaçlı Türev Finansal Varlıklar,2.1.3 Trading Derivative Financial Assets,VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AAE,2.1.4 Diğer Menkul Değerler,2.1.4 Other Marketable Securities,VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AB,2.2 Gerçeğe Uyg. Değ. Kar/Zarara Yans.,2.2 Reclassed as Financial Assets Designated at Fair Value,VAKBN,991081364,1161607177,1258607298,986307937,1057538965,1288786785,1320734724,1228450760,1005344086,890578621,818714377,912673927,1169056849,1120018671,1084500036,1161517363,510371727,177227941,67511300,68539659,142342224,206817348,221376306
1ABA,2.2.1 Devlet Borçlanma Senetleri,2.2.1 Government Debt Securities,VAKBN,949175872,1117755816,1217026602,941784278,1011441109,1246263986,1279733206,1193719838,979406417,867416274,797516993,879713805,958058454,925202554,909360971,1034198119,398310145,98893305,0,0,0,0,0
1ABB,2.2.2 Sermayede Payı Temsil Eden Menkul Değerler,2.2.2 Securities Representing Share in Equity,VAKBN,41905493,43851360,41580696,44468363,40990792,42522798,41001518,34146334,25877178,21944654,20242668,25822443,26457280,27190409,27617188,30608858,34404179,35042010,34198815,37938196,40996466,40656429,54684283
1ABC,2.2.3 Krediler,2.2.3 Loans,VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ABD,2.2.4 Diğer Menkul Değerler,2.2.4 Other Marketable Securities,VAKBN,0,0,0,55296,5107064,0,0,584588,60490,1217693,954717,7137679,184541115,167625707,147521877,96710386,77657404,43292626,33312484,30601463,101345758,166160920,166692022
1AC,III. BANKALAR,III. BANKS,VAKBN,830918939,707960324,350426463,347776582,2006117279,1637906255,1407413683,1595621808,1631874314,2541123812,2612432932,1523908766,2388101502,2418697390,1884656494,1732734400,1930158486,1976154026,2062192145,2015605566,2320404930,1996388487,2131102940
1AD,IV. PARA PİYASALARINDAN ALACAKLAR,IV. RECEIVABLES FROM MONEY MARKETS,VAKBN,0,0,0,25260403,0,0,0,517816221,0,0,0,645720425,0,0,320863159,2760754833,155744970,134298577,99351978,3649062438,1426094461,58359782,2407615388
1ADA,4.1 Bankalararası Para Piyasasından Alacaklar,4.1 Interbank Money Market Placements,VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ADB,4.2 İMKB Takasbank Piyasasından Alacaklar,4.2 Receivables From Istanbul Stock Exchange Money Market,VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ADC,4.3 Ters Repo İşlemlerinden Alacaklar,4.3 Receivables From Reverse Repurchase Agreements,VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,V. SATILMAYA HAZIR FİNANSAL VARLIKLAR (Net),V.AVAILABLE VAILABLE FOR SALE FINANCIAL ASSETS (Net),VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AEA,5.1 Sermayede Payı Temsil Eden Menkul Değerler,5.1 Securities Representing Share in Equity,VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AEB,5.2 Devlet Borçlanma Senetleri,5.2 Government Debt Securities,VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AEC,5.3 Diğer Menkul Değerler,5.3 Other Marketable Securities,VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,VI. KREDİLER,VI. LOANS,VAKBN,50062697713,56323515863,54998995133,59128905512,55782418233,54772617095,55678091180,44335345690,45133611484,44659989815,43875770883,50914227952,57723200471,49910777979,51190699409,51510496451,50361946166,52662835066,55247943275,57890470040,60472462355,62870768002,65851827323
1AFA,6.1 Krediler,6.1 Short Term,VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51510496451,0,0,0,57890470040,60472462355,62870768002,65851827323
1AFB,6.1.1 Bankanın Dahil Olduğu Risk Grubuna Kullandırılan Krediler,6.1.1 Loans Granted To The Bank's Risk Group,VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AFC,6.1.2 Diğer,6.1.2 Other,VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AFD,6.2 Takipteki Krediler,6.3 Loans Under Follow-Up,VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AFE,6.3 Özel Karşılıklar (-),6.4 Specific Provisions (-),VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AG,VII. FAKTORİNG ALACAKLARI,VII. FACTORING RECEIVABLES,VAKBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
