FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,I. NAKİT DEĞERLER VE MERKEZ BANKASI,I. CASH AND BALANCES WITH THE CENTRAL BANK OF TURKEY,YKBNK,7590432728,7269079279,7756293554,7403429709,7135305606,7697785738,7899515206,8701308021,7895386231,8061264364,8102563052,7681834828,7094581244,6478121270,9355446438,8927174082,8974539476,9567634262,11055828245,10974017480,10973700114,11509015257,12396377869
1AA,II. GERÇEĞE UYGUN DEĞ./ZAR. YANS.(Net),II.FINANCIAL ASSETS WHERE FAIR VAL. Chng. (Net),YKBNK,75198359,56066224,51390770,134345527,115937200,116453846,111411434,90675204,77884543,74438094,74744476,83571268,86591949,83929477,86490556,104900259,119122701,108553548,101721378,105387140,102915575,109863435,94924173
1AAA,2.1 Alım Satım Amaçlı Finansal Varlıklar,2.1 Trading Financial Assets (Net),YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AAB,2.1.1 Devlet Borçlanma Senetleri,2.1.1 Public Sector Debt Securities,YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AAC,2.1.2 Sermayede Payı Temsil Eden Menkul Değerler,2.1.2 Share Certificates,YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AAD,2.1.3 Alım Satım Amaçlı Türev Finansal Varlıklar,2.1.3 Trading Derivative Financial Assets,YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AAE,2.1.4 Diğer Menkul Değerler,2.1.4 Other Marketable Securities,YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AB,2.2 Gerçeğe Uyg. Değ. Kar/Zarara Yans.,2.2 Reclassed as Financial Assets Designated at Fair Value,YKBNK,75198359,56066224,51390770,134345527,115937200,116453846,111411434,90675204,77884543,74438094,74744476,83571268,86591949,83929477,86490556,104900259,119122701,108553548,101721378,105387140,102915575,109863435,94924173
1ABA,2.2.1 Devlet Borçlanma Senetleri,2.2.1 Government Debt Securities,YKBNK,44631923,23809350,24116428,37229271,27077379,23869180,22937995,15475549,17455382,16331584,17531169,19497598,22035668,18348061,18345402,24355251,35010852,25488714,14493674,8288526,6744807,6650566,6694043
1ABB,2.2.2 Sermayede Payı Temsil Eden Menkul Değerler,2.2.2 Securities Representing Share in Equity,YKBNK,30244321,29035519,25630682,30735264,27388979,26270541,25683962,17108215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ABC,2.2.3 Krediler,2.2.3 Loans,YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ABD,2.2.4 Diğer Menkul Değerler,2.2.4 Other Marketable Securities,YKBNK,322115,3221355,1643661,66380992,61470842,66314125,62789477,58091440,60429161,58106510,57213307,64073671,64556281,65581416,68145154,80545008,84111849,83064834,87227704,97098614,96170768,103212868,88230131
1AC,III. BANKALAR,III. BANKS,YKBNK,2076419965,1478411349,1506397466,1488574408,2066122434,1574798008,2183452246,1917603984,1754413066,1395670165,1120163917,1409671471,1130816925,1220543031,838568147,935936429,980827335,961544277,1172226081,659894041,1882430743,1285630030,819662110
1AD,IV. PARA PİYASALARINDAN ALACAKLAR,IV. RECEIVABLES FROM MONEY MARKETS,YKBNK,1332418750,0,128763,228832322,0,0,234302,135502584,330046646,0,78422012,131411435,271460407,342836263,218157952,0,18631599,0,0,0,0,0,0
1ADA,4.1 Bankalararası Para Piyasasından Alacaklar,4.1 Interbank Money Market Placements,YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ADB,4.2 İMKB Takasbank Piyasasından Alacaklar,4.2 Receivables From Istanbul Stock Exchange Money Market,YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ADC,4.3 Ters Repo İşlemlerinden Alacaklar,4.3 Receivables From Reverse Repurchase Agreements,YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,V. SATILMAYA HAZIR FİNANSAL VARLIKLAR (Net),V.AVAILABLE VAILABLE FOR SALE FINANCIAL ASSETS (Net),YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AEA,5.1 Sermayede Payı Temsil Eden Menkul Değerler,5.1 Securities Representing Share in Equity,YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AEB,5.2 Devlet Borçlanma Senetleri,5.2 Government Debt Securities,YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AEC,5.3 Diğer Menkul Değerler,5.3 Other Marketable Securities,YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,VI. KREDİLER,VI. LOANS,YKBNK,38399656461,38868168624,37850986454,39450727730,37604463001,37306875999,38585043229,30425182880,31273672384,30707993398,30118523294,32267842409,33570268660,28131491790,28722363560,30639059384,32743065769,35254082128,35336098150,35235593626,35424148709,37809526529,39587806145
1AFA,6.1 Krediler,6.1 Short Term,YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30639059384,0,0,35336098150,35235593626,35424148709,37809526529,39587806145
1AFB,6.1.1 Bankanın Dahil Olduğu Risk Grubuna Kullandırılan Krediler,6.1.1 Loans Granted To The Bank's Risk Group,YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AFC,6.1.2 Diğer,6.1.2 Other,YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AFD,6.2 Takipteki Krediler,6.3 Loans Under Follow-Up,YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AFE,6.3 Özel Karşılıklar (-),6.4 Specific Provisions (-),YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AG,VII. FAKTORİNG ALACAKLARI,VII. FACTORING RECEIVABLES,YKBNK,106689812,2892422,23753444,94369610,35420583,34512931,52495250,54970494,57345245,42495656,66908436,89317905,109441676,69400416,29389594,33044695,23600310,18909634,31217641,33533689,30299865,14562800,14929584
1AH,VIII. VADEYE KADAR ELDE TUTULACAK YATIRIMLAR (Net),VIII. HELD TO MATURITY INVESTMENT (Net),YKBNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
