FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,ZOREN,524030084,564191233,488945945,544565770,503455064,711450799,579945809,484633116,632790057,699296824,756648412,1205995249,676567298,528375429,551332021,970665484,482704275,436117992,450345177,475901621,538473081,534890989,498016695
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,ZOREN,87678493,179895996,122122016,97987811,65829177,257028830,108215189,87700891,78694650,133006099,114372820,202804773,84894829,79652797,69156858,94670021,31265784,37621825,48731953,54720245,82729736,70403392,142384324
1AB,Finansal Yatırımlar,Short-Term Financial Investments,ZOREN,0,8136970,4184801,34789242,30933244,30565784,29686660,22390174,22716541,22760823,26415931,57909940,30645827,23159732,21621673,19537016,12458044,12231331,11801156,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,ZOREN,155760389,155649770,177900131,191584754,190948470,216976621,227488335,213175092,259863471,252028889,311685901,630166186,377069596,256959752,265111828,293114003,228645265,186831989,188738126,228525705,182187521,188023505,188526608
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,ZOREN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,ZOREN,191823748,159690759,129897247,132262300,131504892,112223347,123555568,70699468,170034439,176039278,175597803,130032618,62068293,59637953,61330963,63302126,100271831,72931188,75680158,38902379,34106709,34276457,36238120
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,ZOREN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,ZOREN,10594089,9914375,9929309,17647154,8643415,17492381,18462645,17900846,24057490,38701487,32544995,62671204,29660722,33375545,34800408,26013638,21371709,24561795,15697623,16600386,11347264,12915423,13684899
1AG,Canlı Varlıklar,Short-Term Live Assets,ZOREN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,ZOREN,78173365,50903362,44912441,70294509,75595866,77163836,72537411,72766644,77423466,76760248,96030961,122410527,92228030,75589650,99310290,131820944,88691642,101939864,109696160,137152906,114280443,121107796,117182744
