iter	Passed	Remaining
0	32	22674
1	57	20151
2	80	18816
3	107	18769
4	128	17888
5	152	17642
6	173	17173
7	198	17199
8	223	17127
9	244	16895
10	270	16933
11	293	16812
12	314	16634
13	338	16589
14	360	16454
15	383	16390
16	406	16347
17	432	16372
18	455	16321
19	479	16297
20	502	16258
21	523	16124
22	546	16080
23	569	16044
24	592	16004
25	614	15934
26	638	15910
27	661	15885
28	686	15889
29	708	15827
30	732	15817
31	755	15768
32	781	15790
33	807	15816
34	834	15859
35	860	15865
36	884	15843
37	908	15823
38	929	15751
39	953	15736
40	976	15691
41	998	15645
42	1020	15590
43	1043	15554
44	1063	15482
45	1082	15388
46	1101	15310
47	1125	15283
48	1146	15230
49	1167	15179
50	1187	15112
51	1209	15070
52	1230	15025
53	1253	14995
54	1274	14943
55	1295	14898
56	1320	14897
57	1339	14823
58	1362	14798
59	1384	14767
60	1404	14714
61	1428	14695
62	1452	14681
63	1469	14606
64	1493	14586
65	1513	14535
66	1533	14489
67	1553	14440
68	1575	14403
69	1596	14364
70	1617	14332
71	1638	14289
72	1659	14251
73	1680	14218
74	1702	14188
75	1721	14131
76	1739	14075
77	1761	14045
78	1781	14003
79	1803	13976
80	1824	13942
81	1844	13899
82	1864	13858
83	1888	13846
84	1908	13811
85	1931	13792
86	1953	13767
87	1973	13723
88	1995	13702
89	2017	13671
90	2038	13644
91	2058	13604
92	2077	13559
93	2098	13526
94	2116	13481
95	2136	13439
96	2154	13393
97	2174	13357
98	2194	13320
99	2215	13291
100	2237	13267
101	2255	13225
102	2275	13190
103	2297	13165
104	2318	13140
105	2341	13121
106	2365	13109
107	2389	13095
108	2411	13073
109	2432	13045
110	2454	13025
111	2475	12997
112	2495	12964
113	2514	12925
114	2532	12883
115	2549	12837
116	2569	12804
117	2588	12766
118	2609	12741
119	2630	12714
120	2649	12679
121	2669	12645
122	2688	12610
123	2709	12583
124	2730	12559
125	2751	12536
126	2771	12504
127	2791	12475
128	2811	12445
129	2832	12417
130	2850	12380
131	2871	12355
132	2893	12336
133	2916	12318
134	2940	12305
135	2963	12291
136	2986	12273
137	3009	12254
138	3030	12232
139	3051	12204
140	3072	12181
141	3091	12149
142	3112	12124
143	3132	12094
144	3152	12064
145	3170	12030
146	3193	12014
147	3214	11987
148	3235	11966
149	3254	11933
150	3272	11898
151	3294	11877
152	3314	11850
153	3334	11822
154	3354	11796
155	3375	11769
156	3395	11744
157	3416	11719
158	3437	11694
159	3458	11671
160	3477	11641
161	3496	11612
162	3515	11580
163	3535	11556
164	3553	11522
165	3571	11490
166	3592	11464
167	3609	11429
168	3632	11412
169	3651	11383
170	3669	11350
171	3689	11326
172	3709	11301
173	3729	11274
174	3749	11247
175	3767	11218
176	3787	11189
177	3809	11170
178	3829	11146
179	3850	11122
180	3870	11097
181	3891	11077
182	3911	11050
183	3931	11024
184	3950	10997
185	3970	10973
186	3989	10944
187	4009	10919
188	4029	10895
189	4051	10874
190	4073	10856
191	4092	10827
192	4111	10800
193	4132	10777
194	4152	10752
195	4174	10733
196	4194	10710
197	4214	10684
198	4231	10654
199	4249	10623
200	4274	10611
201	4310	10625
202	4332	10607
203	4352	10582
204	4372	10556
205	4391	10532
206	4410	10504
207	4431	10483
208	4452	10461
209	4473	10437
210	4491	10410
211	4512	10387
212	4532	10363
213	4552	10338
214	4570	10310
215	4590	10285
216	4609	10260
217	4629	10236
218	4648	10210
219	4667	10184
220	4687	10160
221	4707	10137
222	4725	10107
223	4745	10083
224	4764	10057
225	4783	10031
226	4801	10005
227	4821	9981
228	4841	9957
229	4860	9933
230	4879	9907
231	4899	9882
232	4918	9857
233	4938	9833
234	4956	9807
235	4977	9786
236	4996	9761
237	5016	9738
238	5040	9722
239	5064	9707
240	5085	9685
241	5106	9664
242	5128	9644
243	5148	9621
244	5167	9596
245	5187	9574
246	5207	9550
247	5228	9528
248	5247	9503
249	5265	9477
250	5283	9451
251	5302	9427
252	5324	9407
253	5343	9383
254	5363	9359
255	5381	9333
256	5401	9309
257	5422	9289
258	5441	9264
259	5460	9240
260	5480	9217
261	5501	9196
262	5521	9175
263	5540	9149
264	5558	9124
265	5578	9101
266	5597	9078
267	5618	9056
268	5637	9031
269	5657	9009
270	5676	8986
271	5694	8960
272	5711	8934
273	5731	8910
274	5751	8889
275	5784	8886
276	5802	8861
277	5823	8840
278	5843	8818
279	5862	8793
280	5880	8768
281	5901	8747
282	5921	8725
283	5941	8702
284	5962	8681
285	5982	8659
286	6001	8635
287	6022	8614
288	6041	8591
289	6060	8568
290	6078	8543
291	6099	8522
292	6119	8500
293	6139	8478
294	6161	8458
295	6180	8435
296	6199	8411
297	6221	8392
298	6239	8367
299	6260	8347
300	6280	8325
301	6299	8301
302	6320	8281
303	6339	8257
304	6357	8233
305	6378	8212
306	6398	8190
307	6416	8166
308	6437	8145
309	6457	8124
310	6478	8103
311	6498	8081
312	6518	8059
313	6538	8038
314	6558	8016
315	6578	7994
316	6597	7971
317	6618	7950
318	6639	7929
319	6660	7908
320	6679	7886
321	6699	7865
322	6721	7845
323	6741	7823
324	6760	7800
325	6781	7779
326	6800	7757
327	6820	7735
328	6839	7712
329	6857	7688
330	6878	7668
331	6899	7647
332	6918	7624
333	6938	7603
334	6960	7584
335	6979	7560
336	6999	7539
337	7019	7517
338	7038	7495
339	7059	7474
340	7079	7453
341	7098	7431
342	7118	7408
343	7138	7387
344	7158	7365
345	7178	7344
346	7200	7324
347	7223	7306
348	7242	7284
349	7266	7266
350	7288	7246
351	7307	7224
352	7327	7202
353	7346	7180
354	7366	7158
355	7385	7136
356	7406	7115
357	7425	7094
358	7445	7072
359	7465	7050
360	7485	7029
361	7505	7008
362	7525	6986
363	7544	6964
364	7564	6942
365	7582	6919
366	7602	6898
367	7623	6877
368	7643	6855
369	7661	6833
370	7680	6811
371	7700	6789
372	7718	6766
373	7737	6744
374	7757	6723
375	7776	6701
376	7796	6679
377	7817	6659
378	7836	6637
379	7854	6614
380	7874	6593
381	7893	6571
382	7913	6549
383	7931	6526
384	7949	6503
385	7970	6484
386	7990	6462
387	8011	6442
388	8033	6422
389	8052	6401
390	8074	6381
391	8095	6360
392	8114	6338
393	8135	6318
394	8156	6298
395	8175	6276
396	8196	6255
397	8216	6235
398	8236	6213
399	8255	6191
400	8272	6168
401	8295	6149
402	8315	6128
403	8335	6107
404	8355	6086
405	8374	6064
406	8394	6043
407	8415	6022
408	8435	6001
409	8453	5979
410	8474	5958
411	8494	5937
412	8513	5916
413	8530	5893
414	8551	5872
415	8572	5852
416	8590	5830
417	8611	5809
418	8629	5787
419	8649	5766
420	8669	5745
421	8687	5723
422	8708	5702
423	8728	5681
424	8749	5661
425	8769	5640
426	8789	5619
427	8810	5599
428	8831	5578
429	8848	5556
430	8869	5535
431	8888	5514
432	8907	5492
433	8926	5471
434	8945	5449
435	8964	5428
436	8986	5408
437	9005	5387
438	9026	5366
439	9046	5345
440	9066	5324
441	9086	5304
442	9106	5283
443	9127	5262
444	9146	5241
445	9165	5219
446	9185	5198
447	9205	5177
448	9225	5157
449	9242	5134
450	9261	5113
451	9280	5092
452	9301	5071
453	9320	5050
454	9342	5030
455	9361	5009
456	9381	4988
457	9403	4968
458	9424	4948
459	9444	4927
460	9466	4907
461	9488	4887
462	9509	4867
463	9528	4846
464	9550	4826
465	9569	4805
466	9588	4783
467	9607	4762
468	9627	4741
469	9648	4721
470	9671	4702
471	9692	4681
472	9710	4660
473	9732	4640
474	9753	4620
475	9771	4598
476	9790	4577
477	9809	4555
478	9830	4535
479	9851	4515
480	9872	4494
481	9891	4473
482	9909	4452
