date,equity
2025-01-02,98760.66351329527
2025-01-03,99691.98355716169
2025-01-06,99334.00353819662
2025-01-07,99029.3583824366
2025-01-08,97771.94777742741
2025-01-09,101676.22917742742
2025-01-10,103637.20427742743
2025-01-13,101833.90629380742
2025-01-14,103426.37029380743
2025-01-15,104375.51609380743
2025-01-16,106047.05952376743
2025-01-17,106257.6148534801
2025-01-20,106544.69845348009
2025-01-21,106229.91655348008
2025-01-22,107131.3003034801
2025-01-23,108967.02463191905
2025-01-24,109562.20425838945
2025-01-27,108609.15325838944
2025-01-28,112018.89895838944
2025-01-29,111844.36430119509
2025-01-30,112816.19120119508
2025-01-31,112353.5920659951
2025-02-03,111380.78480119508
2025-02-04,110449.40832158158
2025-02-05,108901.87737910158
2025-02-06,109873.21392706409
2025-02-07,110788.75152706409
2025-02-10,111218.2759270641
2025-02-11,112816.6771270641
2025-02-12,113682.73472706409
2025-02-13,114995.3041270641
2025-02-14,115068.21144998068
2025-02-17,116335.9438767807
2025-02-18,118187.59460762069
2025-02-19,117449.45551172628
2025-02-20,118072.87351172628
2025-02-21,116195.2112117263
2025-02-24,115753.1225117263
2025-02-25,113244.08761821217
2025-02-26,111858.80650015015
2025-02-27,114525.26996237016
2025-02-28,113117.29682884285
2025-03-03,117518.40722884284
2025-03-04,120780.01202884286
2025-03-05,125130.09663648607
2025-03-06,129689.66561648605
2025-03-07,129509.30947050266
2025-03-10,134252.12347050264
2025-03-11,136304.60190559624
2025-03-12,137428.36999582063
2025-03-13,140914.41369582064
2025-03-14,146745.58849582064
2025-03-17,155655.58779582064
2025-03-18,162722.74639714067
2025-03-19,154924.68999714067
2025-03-20,164617.68096762866
2025-03-21,159418.27235381934
2025-03-24,159513.80839038332
2025-03-25,163246.32082191535
2025-03-26,165731.89913397533
2025-03-27,166596.89508997533
2025-03-28,171358.18913397533
2025-04-02,175558.3703730773
2025-04-03,178843.11103034733
2025-04-04,167775.3444863473
2025-04-07,177694.20419176633
2025-04-08,184841.04169176632
2025-04-09,189028.52040018633
2025-04-10,189186.50040018634
2025-04-11,186776.22581874282
2025-04-14,190403.4903187428
2025-04-15,190088.70911511284
2025-04-16,181481.25403429283
2025-04-17,186707.4302749986
2025-04-18,185498.59147499857
2025-04-21,190177.6789749986
2025-04-22,190173.2927299714
2025-04-24,172862.53608597137
2025-04-25,203152.6601299714
2025-04-28,204432.2429357089
2025-04-29,204971.15464278887
2025-04-30,202801.5533427889
