iter	Passed	Remaining
0	44	30818
1	66	23213
2	87	20231
3	118	20570
4	139	19453
5	171	19849
6	197	19571
7	219	18996
8	242	18585
9	261	18054
10	284	17799
11	303	17395
12	323	17111
13	345	16933
14	366	16750
15	388	16619
16	414	16650
17	436	16542
18	456	16373
19	479	16318
20	502	16235
21	531	16377
22	556	16392
23	586	16533
24	616	16655
25	657	17032
26	677	16899
27	696	16726
28	720	16669
29	744	16634
30	773	16683
31	796	16621
32	822	16626
33	855	16749
34	878	16688
35	902	16639
36	928	16633
37	952	16598
38	977	16573
39	1002	16542
40	1035	16637
41	1053	16509
42	1076	16444
43	1094	16311
44	1114	16228
45	1132	16098
46	1154	16045
47	1176	15978
48	1193	15852
49	1215	15796
50	1245	15855
51	1271	15847
52	1293	15784
53	1314	15724
54	1336	15676
55	1355	15583
56	1374	15510
57	1394	15441
58	1416	15384
59	1438	15340
60	1457	15266
61	1478	15212
62	1503	15201
63	1527	15175
64	1546	15104
65	1568	15064
66	1586	14989
67	1611	14975
68	1633	14940
69	1652	14871
70	1674	14836
71	1694	14775
72	1714	14722
73	1735	14680
74	1753	14616
75	1775	14581
76	1796	14533
77	1827	14571
78	1848	14531
79	1869	14485
80	1887	14423
81	1910	14396
82	1932	14362
83	1949	14295
84	1971	14261
85	1992	14222
86	2013	14189
87	2034	14151
88	2054	14102
89	2073	14055
90	2093	14007
91	2114	13974
92	2134	13932
93	2152	13874
94	2171	13825
95	2189	13774
96	2208	13731
97	2227	13682
98	2249	13656
99	2270	13620
100	2288	13572
101	2307	13527
102	2325	13479
103	2343	13429
104	2369	13426
105	2391	13400
106	2412	13372
107	2433	13338
108	2459	13336
109	2482	13315
110	2504	13290
111	2525	13257
112	2542	13206
113	2562	13171
114	2580	13129
115	2601	13097
116	2623	13071
117	2643	13039
118	2665	13014
119	2683	12972
120	2702	12929
121	2716	12871
122	2736	12838
123	2759	12816
124	2778	12782
125	2800	12756
126	2818	12716
127	2838	12684
128	2862	12671
129	2879	12626
130	2902	12605
131	2925	12590
132	2946	12563
133	2969	12540
134	2989	12510
135	3007	12471
136	3028	12446
137	3045	12402
138	3067	12378
139	3084	12338
140	3106	12315
141	3126	12286
142	3146	12254
143	3171	12244
144	3191	12215
145	3210	12183
146	3233	12163
147	3258	12152
148	3290	12169
149	3315	12155
150	3335	12125
151	3363	12125
152	3379	12083
153	3402	12062
154	3425	12043
155	3442	12005
156	3463	11978
157	3481	11944
158	3503	11920
159	3521	11885
160	3542	11858
161	3566	11843
162	3587	11817
163	3607	11791
164	3628	11765
165	3646	11729
166	3666	11702
167	3684	11666
168	3705	11642
169	3727	11620
170	3745	11586
171	3768	11567
172	3788	11539
173	3807	11511
174	3828	11484
175	3846	11452
176	3866	11424
177	3887	11401
178	3906	11371
179	3925	11340
180	3945	11311
181	3963	11281
182	3985	11259
183	4005	11231
184	4024	11202
185	4044	11177
186	4064	11149
187	4085	11126
188	4105	11099
189	4124	11072
190	4142	11040
191	4164	11017
192	4182	10987
193	4201	10958
194	4225	10942
195	4242	10910
196	4262	10882
197	4283	10860
198	4301	10830
199	4323	10808
200	4341	10778
201	4363	10756
202	4384	10733
203	4401	10701
204	4422	10677
205	4442	10652
206	4461	10626
207	4485	10608
208	4505	10583
209	4525	10558
210	4548	10540
211	4567	10513
212	4588	10490
213	4606	10461
214	4630	10445
215	4651	10423
216	4672	10400
217	4692	10375
218	4709	10343
219	4728	10317
220	4750	10297
221	4769	10269
222	4788	10243
223	4806	10214
224	4826	10189
225	4843	10159
226	4870	10148
227	4896	10137
228	4919	10117
229	4939	10094
230	4960	10072
231	4979	10045
232	4999	10021
233	5021	9999
234	5040	9973
235	5060	9950
236	5081	9926
237	5102	9904
238	5122	9879
239	5144	9861
240	5165	9838
241	5186	9815
242	5204	9787
243	5221	9759
244	5241	9734
245	5260	9709
246	5282	9687
247	5303	9666
248	5323	9642
249	5352	9634
250	5371	9609
251	5391	9585
252	5411	9561
253	5430	9535
254	5451	9512
255	5470	9487
256	5487	9459
257	5508	9437
258	5527	9412
259	5548	9389
260	5566	9362
261	5585	9337
262	5611	9323
263	5630	9298
264	5653	9279
265	5677	9262
266	5700	9245
267	5726	9230
268	5750	9213
269	5773	9195
270	5795	9174
271	5815	9150
272	5833	9124
273	5856	9105
274	5878	9085
275	5896	9058
276	5917	9036
277	5935	9010
278	5957	8989
279	5980	8970
280	5998	8944
281	6019	8922
282	6040	8901
283	6059	8876
284	6079	8853
285	6098	8828
286	6122	8809
287	6147	8794
288	6166	8769
289	6186	8745
290	6204	8719
291	6221	8693
292	6241	8669
293	6262	8648
294	6283	8626
295	6306	8607
296	6325	8583
297	6346	8561
298	6365	8537
299	6386	8514
300	6403	8488
301	6424	8467
302	6442	8441
303	6461	8417
304	6483	8396
305	6503	8373
306	6523	8351
307	6543	8328
308	6562	8304
309	6582	8280
310	6605	8261
311	6626	8240
312	6646	8217
313	6667	8196
314	6687	8173
315	6707	8151
316	6730	8131
317	6749	8108
318	6770	8086
319	6788	8061
320	6809	8039
321	6828	8015
322	6847	7991
323	6866	7969
324	6884	7943
325	6904	7921
326	6923	7897
327	6942	7873
328	6959	7848
329	6979	7825
330	7004	7809
331	7023	7785
332	7045	7764
333	7061	7738
334	7082	7716
335	7103	7695
336	7121	7670
337	7143	7651
338	7165	7631
339	7184	7606
340	7206	7586
341	7225	7563
342	7244	7540
343	7261	7515
344	7283	7494
345	7304	7473
346	7324	7451
347	7345	7429
348	7364	7406
349	7382	7382
350	7404	7362
351	7420	7336
352	7440	7313
353	7459	7290
354	7478	7268
355	7499	7247
356	7518	7223
357	7539	7202
358	7558	7179
359	7578	7157
360	7598	7135
361	7619	7114
362	7639	7092
363	7657	7068
364	7679	7047
365	7699	7025
366	7718	7003
367	7740	6982
368	7762	6962
369	7782	6940
370	7801	6918
371	7822	6897
372	7841	6874
373	7863	6853
374	7882	6831
375	7901	6808
376	7922	6787
377	7940	6764
378	7962	6744
379	7983	6722
380	8001	6699
381	8022	6678
382	8040	6655
383	8062	6634
384	8082	6613
385	8102	6591
386	8124	6571
387	8144	6548
388	8166	6529
389	8187	6507
390	8208	6487
391	8232	6468
392	8252	6446
393	8270	6423
394	8286	6398
395	8306	6376
396	8330	6357
397	8346	6333
398	8366	6311
399	8385	6289
400	8406	6268
401	8424	6244
402	8442	6221
403	8462	6199
404	8480	6176
405	8502	6157
406	8523	6135
407	8540	6112
408	8559	6090
409	8580	6069
410	8602	6049
411	8621	6026
412	8639	6003
413	8658	5981
414	8677	5959
415	8699	5939
416	8718	5916
417	8738	5895
418	8759	5874
419	8779	5852
420	8801	5832
421	8818	5809
422	8838	5787
423	8862	5768
424	8881	5747
425	8902	5726
426	8921	5703
427	8942	5683
428	8961	5661
429	8980	5638
430	9000	5617
431	9018	5594
432	9038	5573
433	9057	5551
434	9076	5529
435	9096	5507
436	9113	5484
437	9136	5464
438	9156	5444
439	9183	5426
440	9204	5405
441	9226	5385
442	9246	5364
443	9269	5344
444	9292	5324
445	9311	5303
446	9332	5282
447	9354	5261
448	9374	5240
449	9396	5220
450	9419	5200
451	9439	5179
452	9462	5159
453	9484	5139
454	9504	5117
455	9523	5095
456	9541	5073
457	9561	5052
458	9583	5031
459	9602	5009
460	9623	4989
461	9642	4967
462	9663	4946
463	9684	4925
464	9703	4904
465	9722	4882
466	9742	4860
467	9763	4839
468	9781	4817
